# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: hpc-c10-node01.unitn.it
# Release : 3.10.0-1160.24.1.el7.x86_64
# Version : #1 SMP Thu Apr 8 19:51:47 UTC 2021
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 237.983205 
# Number of iterations (recorded+unrecorded): 1192501236 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
0.00	9059.36
999857.44	10013.29
1999713.88	31946.75
2362561.27	15734.89
2968101.54	15973.87
2999571.32	13112.07
3999666.74	14542.97
4495064.78	15258.92
4999523.18	11682.18
5066991.42	15734.89
5999380.62	8105.43
6999476.04	8582.39
7360892.53	15496.91
7999332.48	9059.36
8999189.92	8582.39
9999285.34	5959.58
10999141.78	8106.43
11998999.22	9059.36
12998855.66	7391.48
13998951.08	11205.21
14999046.50	13028417.57
28679731.04	11205.21
28997759.60	16210.86
29991656.46	17641.76
30498736.67	13112.07
30997711.46	9775.31
31130024.12	13113.07
31350784.54	17403.77
31997568.90	11681.18
32506079.01	11921.16
32997425.34	10013.29
33811566.88	13113.07
33997520.76	10251.28
34751585.55	13112.07
34938731.34	12158.14
34997377.20	6437.55
35516855.54	10489.26
35997234.64	7152.50
36905306.56	13113.07
36975635.59	20264.57
36997330.06	7867.44
37871072.40	11444.19
37997186.50	7152.50
38019119.95	10967.23
38803461.60	15257.92
38997043.94	10251.28
39302198.40	10251.28
39997139.36	6675.53
40124445.38	11206.21
40317074.78	12635.11
40362847.55	11205.21
40996995.80	13016259.43
54402088.79	15495.91
54692700.28	10967.23
54832642.41	10490.26
54995946.88	8344.41
55996042.30	5245.63
56755113.73	11205.21
56995899.74	8106.43
57995756.18	6676.53
58995613.62	6913.51
59995709.04	6913.51
60521145.96	15973.87
60995565.48	5722.60
61995422.92	9298.34
62995518.34	14780.96
63995374.78	8344.41
64995470.20	8344.41
65995327.64	6437.55
66995184.08	13012445.70
80007867.76	5483.61
80433414.73	15734.89
80696848.14	11205.21
80994135.16	9775.31
81993992.60	8105.43
82994088.02	8105.43
83993944.46	6675.53
84703190.41	15257.92
84993801.90	7390.48
85993897.32	8105.43
86993753.76	9775.31
