# Hoverboard test (1048576 1 1000000000)
# time(ns),sleep_time(ns),repetitions
4580736,1000000000,1
2716302,1000000000,1
14600038,1000000000,1
3969669,1000000000,1
8839607,1000000000,1
10694742,1000000000,1
5964517,1000000000,1
2936363,1000000000,1
2572298,1000000000,1
8072853,1000000000,1
2769947,1000000000,1
2673387,1000000000,1
2471208,1000000000,1
2794027,1000000000,1
2749919,1000000000,1
2389192,1000000000,1
2603769,1000000000,1
2642869,1000000000,1
10572433,1000000000,1
2635717,1000000000,1
2536773,1000000000,1
2856731,1000000000,1
4434585,1000000000,1
2607107,1000000000,1
12635707,1000000000,1
2414941,1000000000,1
2451896,1000000000,1
2596855,1000000000,1
2949476,1000000000,1
2472877,1000000000,1
# Hoverboard test (1048576 1 800000000)
# time(ns),sleep_time(ns),repetitions
3512382,800000000,1
2362489,800000000,1
2304315,800000000,1
2135753,800000000,1
3994703,800000000,1
2265930,800000000,1
2391576,800000000,1
12300729,800000000,1
2594470,800000000,1
2182722,800000000,1
2556800,800000000,1
2172231,800000000,1
2536058,800000000,1
2112627,800000000,1
2267837,800000000,1
2183437,800000000,1
2423048,800000000,1
2430677,800000000,1
2276897,800000000,1
2152204,800000000,1
4183292,800000000,1
17701625,800000000,1
2490997,800000000,1
2245426,800000000,1
2588033,800000000,1
2194643,800000000,1
2271652,800000000,1
9440422,800000000,1
2385377,800000000,1
2179861,800000000,1
# Hoverboard test (1048576 1 600000000)
# time(ns),sleep_time(ns),repetitions
8063793,600000000,1
12725591,600000000,1
2011299,600000000,1
3128290,600000000,1
4940509,600000000,1
2391099,600000000,1
2049684,600000000,1
2462625,600000000,1
2146244,600000000,1
2523660,600000000,1
13041257,600000000,1
2344131,600000000,1
2268075,600000000,1
2648115,600000000,1
2312898,600000000,1
2294778,600000000,1
2466678,600000000,1
2683639,600000000,1
2256393,600000000,1
2363443,600000000,1
4292249,600000000,1
2361297,600000000,1
2263069,600000000,1
3617286,600000000,1
9526729,600000000,1
2279758,600000000,1
2217054,600000000,1
2225160,600000000,1
2209663,600000000,1
3997564,600000000,1
# Hoverboard test (1048576 1 400000000)
# time(ns),sleep_time(ns),repetitions
