# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 48.875000 104.904000 534.534000 24.437500 5.087111 6.569667 -nan -nan -nan
1025 10 173.091000 459.909000 1998.186000 24.437500 29.697333 28.133333 6.200402 0.025042 inf
2049 10 182.151000 434.875000 2081.871000 24.437500 28.929000 28.795556 11.120014 0.010671 12.015337
3073 10 179.529000 476.598000 2055.883000 24.437500 28.954778 34.756111 13.304312 0.007476 9.488083
4097 10 201.702000 582.933000 2304.077000 24.437500 31.895222 46.412111 13.619854 0.007169 7.768336
5121 10 199.079000 715.732000 2267.837000 24.437500 30.783000 56.955444 12.271093 0.008156 7.156861
6145 10 200.748000 750.064000 2294.063000 24.437500 31.842556 53.909000 12.512803 0.008014 6.416588
7169 10 198.364000 642.538000 2269.506000 24.437500 31.762889 46.730000 15.950089 0.006337 8.696115
8193 10 231.504000 824.213000 2585.887000 24.437500 30.094111 66.571667 16.262799 0.006206 8.073298
9217 10 234.127000 1013.278000 2637.386000 24.437500 32.901778 80.294000 14.355086 0.006904 8.431767
10241 10 242.233000 1002.550000 2721.309000 24.437500 33.219889 73.989222 14.434334 0.006878 7.951154
11265 10 234.842000 907.897000 2661.705000 24.437500 34.809444 73.671333 16.631817 0.006235 8.809242
12289 10 246.763000 945.568000 2757.549000 24.437500 32.213222 76.982667 18.518748 0.005732 9.306225
13313 10 249.624000 942.230000 2820.014000 24.437500 35.974889 78.068778 20.562363 0.005234 9.958576
14337 10 250.816000 947.475000 2822.399000 24.437500 34.915444 76.399889 22.533290 0.004789 10.528232
15361 10 243.663000 938.177000 2739.191000 24.437500 33.617889 71.552000 24.483006 0.004382 11.077036
16385 10 351.667000 1593.589000 3817.319000 24.437500 33.405444 132.799111 20.392345 0.005180 14.335809
17409 10 352.144000 1575.231000 3813.982000 24.437500 32.504667 134.282556 18.022654 0.005614 14.984725
18433 10 384.807000 1580.238000 4124.402000 24.437500 30.703556 134.574000 17.009916 0.005789 14.744497
19457 10 378.847000 1584.053000 4049.539000 24.437500 29.007667 135.686556 16.643722 0.005848 14.357849
20481 10 349.998000 1593.351000 3802.061000 24.437500 33.564556 133.726222 16.501553 0.005870 13.979529
21505 10 360.727000 1604.557000 3898.382000 24.437500 32.345778 135.130333 16.860230 0.005818 13.656867
22529 10 358.104000 1585.006000 3913.640000 24.437500 36.955556 134.706444 17.743245 0.005694 13.527562
23553 10 357.151000 1624.822000 3885.269000 24.437500 34.862111 134.017667 18.550978 0.005587 13.391279
24577 10 380.039000 1421.213000 4898.309000 24.437500 121.991000 135.925000 21.394498 0.005225 15.202785
25601 10 366.926000 1600.742000 5090.951000 24.437500 157.965667 138.494667 22.629752 0.005074 15.268083
26625 10 363.826000 1609.325000 3950.595000 24.437500 34.703889 136.163444 23.908769 0.004924 15.383392
27649 10 380.516000 1636.505000 4088.878000 24.437500 31.524222 137.938333 25.221856 0.004776 15.541026
28673 10 361.204000 1600.980000 3960.132000 24.437500 38.676889 136.640333 26.737555 0.004612 15.867130
29697 10 384.807000 1613.378000 4141.092000 24.437500 32.558000 134.070667 28.374667 0.004440 16.303952
30721 10 374.078000 1598.596000 4060.268000 24.437500 35.498667 134.150111 30.054792 0.004271 16.781539
31745 10 349.521000 1456.737000 3834.724000 24.437500 37.723778 138.971444 32.475832 0.004034 18.042236
32769 10 368.118000 1615.047000 3996.133000 24.437500 34.994778 136.772778 33.919871 0.003898 18.289196
33793 10 377.416000 1613.616000 4073.619000 24.437500 33.273222 140.481444 35.441274 0.003759 18.607238
34817 10 414.371000 1643.180000 4422.664000 24.437500 30.994889 140.799333 37.000841 0.003620 18.964538
35841 10 361.680000 1645.088000 3947.973000 24.437500 36.797000 140.455000 38.233870 0.003514 19.089305
36865 10 363.588000 1684.904000 4059.076000 24.437500 47.021778 141.806000 39.277606 0.003427 19.111288
37889 10 355.243000 1699.209000 3925.561000 24.437500 41.459000 129.302333 40.238550 0.003348 19.101351
38913 10 349.998000 1706.838000 3829.240000 24.437500 36.584444 142.282889 41.176638 0.003274 19.092549
39937 10 380.754000 1678.466000 4142.045000 24.437500 37.167222 127.500889 42.462468 0.003175 19.319372
40961 10 398.635000 1691.579000 4332.780000 24.437500 38.492222 142.971667 43.769483 0.003077 19.570525
41985 10 394.105000 1725.196000 4240.751000 24.437500 33.300111 126.573667 44.879219 0.002996 19.689501
43009 10 377.655000 1717.567000 4984.617000 24.437500 134.229667 145.779667 45.955665 0.002919 19.796789
44033 10 405.311000 1716.375000 4374.504000 24.437500 35.710444 144.799444 47.177473 0.002833 20.014791
45057 10 393.152000 1531.362000 4303.932000 24.437500 41.379111 146.018111 49.187369 0.002696 21.000399
46081 10 386.714000 1735.448000 4203.081000 24.437500 37.326778 147.369111 50.147388 0.002633 21.037369
47105 10 393.629000 1752.853000 4279.613000 24.437500 38.147000 146.177000 51.070154 0.002572 21.062854
48129 10 376.939000 1728.773000 4131.555000 24.437500 40.240556 148.905556 52.035495 0.002511 21.122705
49153 10 379.562000 1728.773000 4169.702000 24.437500 41.564667 131.660000 53.015719 0.002450 21.200521
50177 10 365.972000 1561.641000 4018.068000 24.437500 39.816444 149.250000 54.638136 0.002351 21.812421
51201 10 389.575000 1760.482000 4206.418000 24.437500 34.518667 149.832778 55.476405 0.002301 21.812213
52225 10 361.680000 1744.270000 3966.331000 24.437500 38.836778 149.912222 56.275194 0.002254 21.799645
53249 10 377.178000 1769.065000 4129.886000 24.437500 39.789556 150.601000 57.046583 0.002210 21.781119
54273 10 393.152000 1760.959000 4307.746000 24.437500 41.802889 153.064667 57.921815 0.002160 21.827526
55297 10 387.907000 1769.542000 4213.809000 24.437500 37.193222 149.382444 58.743295 0.002115 21.850388
56321 10 385.284000 1778.364000 4192.113000 24.437500 37.697000 152.667333 59.523996 0.002073 21.857967
57345 10 377.893000 1777.887000 4161.119000 24.437500 42.465444 151.978556 60.283396 0.002032 21.861077
58369 10 380.039000 1767.396000 4125.833000 24.437500 36.160333 153.647444 61.093396 0.001990 21.899170
59393 10 393.152000 1786.947000 4261.493000 24.437500 36.663667 154.892556 61.879393 0.001949 21.929874
60417 10 380.039000 1804.828000 4176.616000 24.437500 41.802889 156.164111 62.555938 0.001915 21.908269
61441 10 383.377000 1817.464000 4194.498000 24.437500 40.080889 154.627667 63.207596 0.001883 21.880519
62465 10 371.694000 1816.511000 4158.496000 24.437500 49.061778 157.170778 63.830809 0.001852 21.844991
63489 10 389.337000 1827.001000 4224.300000 24.437500 36.770000 155.925667 64.487399 0.001821 21.831643
64513 10 384.092000 1803.874000 4252.672000 24.437500 45.750222 158.124444 65.208922 0.001787 21.858769
65537 10 398.874000 1684.904000 4375.457000 24.437500 42.968556 157.912556 66.366704 0.001733 22.212640
66561 10 396.251000 1867.294000 4290.103000 24.437500 36.399222 157.674111 66.895427 0.001709 22.149396
67585 10 371.217000 1632.213000 4087.209000 24.437500 41.671000 159.316556 68.101634 0.001654 22.559542
68609 10 398.397000 1850.128000 4383.563000 24.437500 44.399222 161.250333 68.672882 0.001629 22.519078
69633 10 423.908000 1862.287000 4560.947000 24.437500 35.763000 159.846333 69.291241 0.001602 22.506299
70657 10 416.517000 1915.454000 4483.938000 24.437500 35.418667 161.541778 69.727310 0.001583 22.418961
71681 10 405.550000 1899.242000 4464.149000 24.437500 45.405444 179.449667 70.192937 0.001563 22.347240
72705 10 470.161000 2133.131000 5047.798000 24.437500 38.465333 184.509444 70.168658 0.001564 22.187296
73729 10 427.722000 2110.958000 4652.976000 24.437500 41.750667 185.383667 70.128921 0.001566 22.031184
74753 10 420.331000 2125.501000 4588.842000 24.437500 42.836889 185.436667 70.070180 0.001568 21.879195
75777 10 406.742000 2117.633000 4475.831000 24.437500 45.379000 185.940000 70.040120 0.001570 21.729233
76801 10 444.650000 2155.780000 4780.292000 24.437500 37.088000 164.800111 70.051973 0.001569 21.581979
77825 10 408.172000 1960.754000 4433.870000 24.437500 39.127778 165.118111 70.543196 0.001550 21.551479
78849 10 418.663000 1907.110000 4520.654000 24.437500 37.113778 147.528111 71.218591 0.001524 21.626882
79873 10 385.522000 1736.402000 4256.963000 24.437500 44.638111 135.183333 72.262700 0.001484 22.006955
80897 10 381.708000 1749.515000 4249.334000 24.437500 48.028222 152.058000 73.234313 0.001448 22.314876
81921 10 416.040000 1898.527000 4514.455000 24.437500 39.339444 166.283667 73.879411 0.001424 22.372028
82945 10 394.105000 1912.355000 4382.133000 24.437500 49.009222 168.138000 74.426885 0.001404 22.376446
83969 10 401.735000 1924.037000 4369.974000 24.437500 39.180444 168.455889 74.965026 0.001384 22.379275
84993 10 417.709000 1938.581000 4590.034000 24.437500 45.882667 163.422667 75.508024 0.001365 22.387951
86017 10 419.855000 1914.024000 4616.975000 24.437500 46.491667 165.330000 76.118870 0.001343 22.438708
87041 10 424.385000 1934.766000 4613.399000 24.437500 41.061000 170.363222 76.685377 0.001324 22.466255
88065 10 422.954000 1928.329000 4565.477000 24.437500 37.326333 169.330111 77.262441 0.001304 22.502905
89089 10 425.815000 1947.402000 4595.994000 24.437500 37.538222 156.376000 77.797139 0.001286 22.518372
90113 10 415.325000 2011.060000 4606.485000 24.437500 50.359444 168.350000 78.152022 0.001274 22.453965
91137 10 427.961000 1968.860000 4613.637000 24.437500 37.114111 171.820222 78.646543 0.001257 22.454521
92161 10 414.848000 2038.240000 4596.710000 24.437500 49.803333 168.217444 78.946910 0.001247 22.376006
93185 10 427.961000 2003.192000 5561.113000 24.437500 142.389222 169.542000 79.370719 0.001233 22.348120
94209 10 407.457000 1817.226000 4516.601000 24.437500 49.114556 170.548667 80.181239 0.001207 22.580964
95233 10 418.186000 1860.618000 4551.410000 24.437500 41.061111 170.416222 80.900156 0.001184 22.738401
96257 10 435.352000 2010.583000 4700.899000 24.437500 38.597667 174.045556 81.305738 0.001172 22.705755
97281 10 425.338000 2008.199000 4611.253000 24.437500 39.763667 171.873222 81.697696 0.001159 22.669622
98305 10 408.887000 1879.215000 4460.334000 24.437500 41.273778 174.151444 82.343475 0.001140 22.782530
99329 10 438.451000 1996.278000 4718.780000 24.437500 37.141111 173.515667 82.787594 0.001126 22.774372
100353 10 442.028000 2021.312000 4765.272000 24.437500 38.332444 178.363556 83.185562 0.001114 22.746591
101377 10 431.299000 2000.808000 4673.480000 24.437500 40.054444 173.886556 83.607200 0.001101 22.732240
102401 10 418.663000 1949.071000 4539.251000 24.437500 39.180111 170.999000 84.113513 0.001086 22.765566
103425 10 435.352000 1974.582000 4719.734000 24.437500 40.690444 172.456000 84.597957 0.001072 22.788453
104449 10 417.470000 2045.392000 4607.677000 24.437500 48.108556 172.588556 84.894158 0.001064 22.727100
105473 10 420.808000 2019.643000 4646.301000 24.437500 48.691222 173.992556 85.257087 0.001053 22.693983
106497 10 422.477000 2013.921000 4635.334000 24.437500 45.618222 175.476000 85.638188 0.001042 22.671085
107521 10 442.266000 2037.048000 4789.113000 24.437500 40.717000 176.058778 86.014388 0.001032 22.647992
108545 10 427.961000 2023.458000 4674.434000 24.437500 43.869333 174.495889 86.391057 0.001021 22.627133
109569 10 442.504000 2055.168000 4801.273000 24.437500 41.803667 175.767444 86.735057 0.001012 22.593658
110593 10 429.868000 2087.354000 4723.310000 24.437500 47.181111 175.317111 86.993136 0.001005 22.529665
111617 10 426.054000 2027.273000 4640.340000 24.437500 42.200000 177.701222 87.368475 0.000994 22.514537
112641 10 428.438000 2046.823000 4671.335000 24.437500 42.995000 176.827111 87.711590 0.000985 22.486471
113665 10 443.935000 2093.553000 4867.792000 24.437500 47.604667 179.582111 87.996843 0.000978 22.436717
114689 10 446.081000 2082.824000 4869.461000 24.437500 45.405667 184.986222 88.311580 0.000969 22.400243
115713 10 466.108000 2113.342000 5016.803000 24.437500 39.524778 185.648556 88.609772 0.000962 22.358800
