#size	rtt
16777216	32122.850000
16777216	29113.888500
16777216	36239.862000
16777216	20011.544000
16777216	14821.171500
16777216	15504.121500
16777216	16096.711000
16777216	14866.709500
16777216	15039.205500
16777216	17139.554000
16777216	15606.880000
16777216	15878.319500
16777216	18721.699500
16777216	15570.163500
16777216	15061.974500
16777216	14737.844000
16777216	15112.996000
16777216	14887.809500
16777216	14638.066000
16777216	14792.084500
16777216	15009.999000
16777216	15165.448000
16777216	15319.347000
16777216	15145.659000
16777216	14850.378000
16777216	14947.414000
16777216	15111.327000
16777216	14833.688500
16777216	14645.934000
16777216	14958.143000
16777216	14671.802500
16777216	14658.331500
16777216	14773.726000
16777216	14525.890000
16777216	14510.869500
16777216	14878.630500
16777216	14736.890500
16777216	14774.084000
16777216	15128.493000
16777216	15076.279500
16777216	14639.854000
16777216	15436.768500
16777216	15019.655000
16777216	16823.053000
16777216	16680.002000
16777216	15935.182500
16777216	15712.738000
16777216	15573.143500
16777216	15213.966000
16777216	15044.331500
16777216	15098.452500
16777216	15080.809500
16777216	16287.922500
16777216	16084.432500
16777216	15841.722000
16777216	15825.867500
16777216	15673.756500
16777216	25909.543000
16777216	15010.595000
16777216	15020.608500
16777216	14963.626500
16777216	14956.355000
16777216	15022.397000
16777216	15135.169000
16777216	15000.820000
16777216	15032.887000
16777216	14938.592500
16777216	14912.247500
16777216	14943.480000
16777216	15243.053000
16777216	15044.212000
16777216	15136.241500
16777216	15073.060500
16777216	15021.681500
16777216	15035.867500
16777216	15218.615500
16777216	16436.696000
16777216	15414.953000
16777216	14962.315500
16777216	14840.245000
16777216	14906.287000
16777216	14909.982500
16777216	14902.234000
16777216	15021.204500
16777216	14980.077500
16777216	14945.745000
16777216	14955.639500
16777216	14862.298500
16777216	14922.976000
16777216	15028.834000
16777216	14840.960500
16777216	14944.553000
16777216	15030.384000
16777216	15229.701500
16777216	15430.569500
16777216	15395.045000
16777216	15275.359000
16777216	14888.763000
16777216	15194.892500
16777216	29774.069500
16777216	27307.033500
16777216	30781.865000
16777216	30833.244000
16777216	32130.479500
16777216	27230.978000
16777216	31184.911500
16777216	31707.525000
16777216	29237.270000
16777216	19557.118000
16777216	28487.801500
16777216	31612.157500
16777216	32108.187500
16777216	27860.522000
16777216	30750.155000
16777216	20601.272500
16777216	15672.206500
16777216	15028.238000
16777216	15204.310000
16777216	15059.947500
16777216	15271.425000
16777216	14957.070000
