#size	rtt
1	24.914500
1	21.815000
1	23.007000
1	23.126500
1	24.437500
1	22.649500
1	21.696000
1	22.888000
1	21.576500
1	23.365000
1	23.245500
1	23.007000
1	23.126500
1	21.457500
1	23.007000
1	22.530500
1	23.007000
1	23.007000
1	22.888000
1	23.007000
1	22.888000
1	22.888000
1	21.696000
1	21.576500
1	22.888000
1	23.007000
1	24.080000
1	24.199000
1	22.888000
1	23.007000
1	22.888000
1	22.768500
1	22.888000
1	23.007000
1	22.888000
1	23.007000
1	21.696000
1	22.888000
1	22.888000
1	22.888000
1	22.888000
1	23.126500
1	24.199000
1	23.007000
1	22.888000
1	22.888000
1	24.080000
1	22.888000
1	23.007000
1	22.768500
1	21.576500
1	24.199000
1	21.696000
1	21.576500
1	22.768500
1	21.576500
1	22.888000
1	23.007000
1	24.080000
1	22.888000
1	24.199000
1	22.888000
1	22.888000
1	22.888000
1	22.768500
1	21.576500
1	21.815000
1	23.007000
1	24.080000
1	21.576500
1	22.888000
1	22.888000
1	21.576500
1	23.007000
1	24.199000
1	23.007000
1	22.888000
1	22.888000
1	22.768500
1	23.007000
1	24.199000
1	22.888000
1	22.888000
1	24.080000
1	22.888000
1	22.768500
1	22.888000
1	21.576500
1	22.888000
1	21.696000
1	24.199000
1	22.888000
1	21.576500
1	22.768500
1	22.888000
1	24.080000
1	24.199000
1	22.888000
1	21.576500
1	23.007000
1	22.888000
1	22.888000
1	22.888000
1	21.576500
1	22.768500
1	21.696000
1	22.888000
1	24.199000
1	23.007000
1	22.888000
1	24.199000
1	24.199000
1	22.768500
1	22.768500
1	24.199000
1	23.007000
1	22.768500
1	22.768500
1	22.888000
1	22.888000
1	22.768500
1	23.007000
1	24.199000
1	503.540000
1	24.437500
1	22.768500
1	22.888000
1	22.888000
1	22.888000
1	22.768500
1	22.888000
1	22.888000
1	22.888000
1	21.576500
1	22.768500
1	21.457500
1	21.576500
1	22.649500
1	22.888000
1	23.126500
1	23.007000
1	23.007000
1	22.888000
1	22.888000
1	22.649500
1	22.888000
1	22.768500
1	23.603000
1	21.576500
1	22.888000
1	22.888000
1	22.888000
1	21.457500
1	23.007000
1	24.080000
1	25.153000
1	21.696000
1	22.768500
1	22.888000
1	22.888000
1	22.888000
1	24.199000
1	22.888000
1	21.815000
1	22.768500
1	21.457500
1	22.768500
1	22.768500
1	21.576500
1	23.007000
1	22.888000
1	25.510500
1	21.815000
1	22.768500
1	24.080000
1	24.080000
1	22.768500
1	22.768500
1	21.576500
1	23.961000
1	23.007000
1	22.768500
1	22.888000
1	22.888000
1	21.576500
1	21.815000
1	22.768500
1	23.603000
1	23.007000
1	21.576500
1	22.888000
1	22.888000
1	22.888000
1	21.696000
1	22.888000
1	27.537000
1	23.007000
1	22.888000
1	22.888000
1	22.888000
1	23.007000
1	24.318500
1	23.007000
1	23.007000
1	5010.247000
1	21.576500
1	21.576500
1	22.888000
1	21.576500
1	21.576500
1	22.888000
1	21.576500
1	23.007000
1	22.768500
1	21.576500
1	22.768500
1	22.888000
1	22.888000
1	23.007000
1	21.457500
1	21.815000
1	22.768500
1	22.888000
1	22.768500
1	22.768500
1	21.576500
1	22.888000
1	22.888000
1	24.080000
1	22.888000
1	22.768500
1	22.888000
1	22.768500
1	22.888000
1	24.318500
1	21.696000
1	23.126500
1	24.080000
1	21.696000
1	22.768500
1	22.768500
1	21.576500
1	21.457500
1	22.768500
1	24.199000
1	22.888000
1	22.888000
1	21.576500
1	22.888000
1	23.007000
1	23.007000
1	21.576500
1	25.629500
1	21.696000
1	22.768500
1	23.007000
1	21.696000
1	21.576500
1	22.768500
1	22.768500
1	23.007000
1	21.576500
1	22.768500
1	21.576500
1	22.888000
1	23.126500
1	22.888000
1	22.888000
1	23.007000
1	22.768500
1	22.768500
1	22.768500
1	22.888000
1	21.457500
1	21.576500
1	22.888000
1	25.391500
1	22.888000
1	21.576500
1	21.576500
1	22.768500
1	23.007000
1	22.768500
1	22.768500
1	23.007000
1	21.576500
1	22.768500
1	21.576500
1	21.576500
1	22.768500
1	22.888000
1	21.576500
1	8919.596500
1	46.968000
1	30.755500
1	30.517500
1	25.510500
1	24.318500
1	25.391500
1	25.510500
1	24.080000
1	29.087000
1	22.768500
1	24.080000
1	22.888000
1	25.510500
1	24.199000
1	25.629500
1	24.318500
1	24.199000
1	24.199000
1	22.888000
1	24.318500
1	24.199000
1	27.894500
1	24.199000
1	25.510500
1	24.199000
1	24.199000
1	25.510500
1	25.391500
1	24.080000
1	24.318500
1	24.199000
1	24.080000
1	22.768500
1	22.888000
1	24.199000
1	24.080000
1	24.318500
1	24.080000
1	23.007000
1	24.199000
1	22.768500
1	22.888000
1	22.768500
1	24.080000
1	22.888000
1	24.080000
1	24.199000
1	25.391500
1	24.080000
1	24.080000
1	24.080000
1	24.318500
1	25.391500
1	24.080000
1	24.318500
1	24.199000
1	24.080000
1	24.080000
1	25.391500
1	22.768500
1	22.888000
1	24.080000
1	24.676000
1	24.080000
1	24.199000
1	22.768500
1	24.080000
1	23.007000
1	24.199000
1	24.080000
1	1803.040500
1	26.702500
1	30.517500
1	23.365000
1	23.484000
1	22.768500
1	22.888000
1	24.080000
1	21.576500
1	22.888000
1	21.576500
1	22.530500
1	23.126500
1	23.007000
1	21.696000
1	22.768500
1	21.576500
1	22.888000
1	21.576500
1	23.245500
1	23.007000
1	22.888000
1	22.888000
1	24.199000
1	21.576500
1	23.007000
1	22.888000
1	23.603000
1	22.888000
1	22.411000
1	23.007000
1	22.768500
1	22.768500
1	22.888000
1	22.172500
1	23.007000
1	22.888000
1	22.768500
1	22.888000
1	24.080000
1	26.822000
1	24.199000
1	24.199000
1	23.007000
1	24.199000
1	22.768500
1	25.510500
1	24.080000
1	24.080000
1	22.888000
1	22.768500
1	23.007000
1	24.199000
1	26.702500
1	22.292000
1	22.768500
1	22.888000
1	21.696000
1	22.888000
1	21.815000
1	21.696000
1	23.126500
1	23.007000
1	22.768500
1	21.576500
1	22.888000
1	25.272000
1	22.053500
1	21.696000
1	21.457500
1	22.888000
1	22.888000
1	22.768500
1	22.768500
1	21.457500
1	23.722500
1	21.696000
1	23.007000
1	21.696000
1	21.457500
1	21.576500
1	24.080000
1	22.888000
1	22.530500
1	5224.823500
1	28.014000
1	22.768500
1	22.888000
1	24.199000
1	24.080000
1	22.768500
1	22.768500
1	22.649500
1	22.888000
1	22.768500
1	22.768500
1	22.888000
1	21.576500
1	22.768500
1	23.961000
1	24.080000
1	24.080000
1	21.457500
1	22.888000
1	24.080000
1	22.888000
1	21.576500
1	22.768500
1	24.080000
1	21.696000
1	21.576500
1	24.080000
1	21.815000
1	22.888000
1	21.576500
1	22.888000
1	22.888000
1	22.768500
1	22.768500
1	22.888000
1	23.007000
1	22.888000
1	22.888000
1	22.888000
1	22.888000
1	24.318500
1	21.696000
1	24.080000
1	22.411000
1	23.007000
1	25.391500
1	22.888000
