#size	rtt
2	25.034000
2	23.007500
2	25.630000
2	23.245500
2	26.822000
2	28.133500
2	32.544000
2	28.848500
2	25.749000
2	26.703000
2	24.914500
2	22.053500
2	27.537000
2	23.484000
2	28.372000
2	24.676500
2	25.391500
2	23.841500
2	24.914500
2	24.319000
2	24.676500
2	26.822000
2	21.696000
2	24.080000
2	23.722500
2	25.034000
2	24.914500
2	28.252500
2	24.795500
2	29.325500
2	25.511000
2	22.650000
2	22.411000
2	23.246000
2	37.312500
2	44.226500
2	22.530500
2	23.484500
2	23.246000
2	23.484500
2	23.842000
2	27.299000
2	23.722500
2	23.603500
2	22.411500
2	25.749000
2	24.676000
2	23.603500
2	23.245500
2	24.914500
2	27.776000
2	26.702500
2	23.007000
2	22.053500
2	23.365000
2	25.391500
2	22.530500
2	23.842000
2	25.749500
2	22.292000
2	25.153000
2	28.491000
2	22.769000
2	23.246000
2	25.868000
2	25.868500
2	22.888000
2	24.080500
2	24.437500
2	24.914500
2	5050.182500
2	29.683000
2	24.438000
2	26.345500
2	26.345500
2	25.272500
2	25.392000
2	25.153000
2	26.106500
2	28.252500
2	27.537500
2	23.961000
2	29.325500
2	67.115000
2	25.749500
2	26.941000
2	24.915000
2	28.491000
2	28.372000
2	28.610500
2	24.795500
2	25.511000
2	26.226000
2	27.775500
2	29.921500
2	29.325500
2	25.272000
2	25.391500
2	28.014000
2	29.087000
2	24.199500
2	26.703000
2	24.795500
2	28.014000
2	26.703000
2	25.749000
2	23.961000
2	24.438000
2	25.391500
2	24.914500
2	27.060500
2	28.610000
2	28.372000
2	26.107000
2	34.213500
2	48.160500
2	29.564000
2	28.253000
2	25.153000
2	28.610000
2	25.630000
2	25.630000
2	26.703000
2	26.345500
2	25.987500
2	27.060500
2	26.822000
2	24.795500
2	24.914500
2	25.272500
2	28.372000
2	25.392000
2	25.987500
2	26.703000
2	27.060500
2	35.286000
2	25.392000
2	24.318500
2	24.319000
2	27.179500
2	25.630000
2	24.557500
2	25.749000
2	26.226000
2	25.272000
2	5469.322500
2	28.491000
2	28.729500
2	23.722500
2	24.914500
2	25.272500
2	24.438000
2	27.656500
2	29.325500
2	25.868500
2	26.584000
2	28.133500
2	27.656500
2	24.437500
2	28.491000
2	25.391500
2	27.299000
2	24.676500
2	27.179500
2	23.246000
2	23.365000
2	29.087500
2	34.094000
2	23.841500
2	26.226000
2	24.915000
2	27.179500
2	24.557000
2	29.087000
2	26.583500
2	25.749500
2	25.630000
2	25.153000
2	24.438000
2	24.080000
2	25.511000
2	25.391500
2	25.153000
2	27.179500
2	26.345000
2	25.749500
2	24.438000
2	30.875000
2	48.876000
2	26.345500
2	25.034000
2	25.153000
2	25.868500
2	24.914500
2	26.107000
2	22.411500
2	23.007500
2	24.795500
2	26.345500
2	29.445000
2	25.511000
2	27.180000
2	23.603500
2	22.649500
2	25.630000
2	24.318500
2	25.868000
2	24.557000
2	23.722500
2	25.511000
2	23.722500
2	27.179500
2	24.199500
2	26.345000
2	22.769000
2	5074.381500
2	25.272500
2	22.650000
2	21.338500
2	23.603500
2	29.087500
2	27.895000
2	20.981000
2	22.173000
2	23.007500
2	21.934500
2	23.961500
2	23.365000
2	24.795500
2	23.007500
2	22.173000
2	22.292000
2	23.007500
2	21.934500
2	24.080500
2	23.484500
2	22.650000
2	22.411000
2	21.696500
2	23.126500
2	23.245500
2	22.053500
2	21.338500
2	24.795500
2	22.053500
2	21.934500
2	21.934500
2	21.815500
2	22.053500
2	22.292000
2	22.054000
2	22.649500
2	23.484000
2	22.530500
2	21.934500
2	22.292000
2	21.457500
2	23.603500
2	21.696500
2	22.530500
2	22.292000
2	22.769000
2	21.696000
2	22.292500
2	22.173000
2	22.292000
2	23.365000
2	22.411000
2	20.981000
2	22.053500
2	24.438000
2	21.100000
2	23.603500
2	21.815500
