#size	rtt
1	556.826500
1	66.041500
1	64.134500
1	62.704000
1	364.899500
1	63.776500
1	63.896000
1	70.810000
1	63.776500
1	63.657500
1	63.419000
1	62.942500
1	61.511500
1	61.988500
1	65.445500
1	63.776500
1	63.776500
1	63.061500
1	62.584500
1	66.161000
1	62.942500
1	62.465500
1	62.227000
1	63.300000
1	63.180500
1	64.134500
1	62.346000
1	61.154000
1	62.227000
1	64.849500
1	62.823000
1	63.061500
1	62.584500
1	62.584500
1	63.776500
1	74.386500
1	62.227000
1	62.584500
1	64.373000
1	63.657500
1	65.803500
1	93.460000
1	64.373000
1	65.565000
1	64.015000
1	64.969000
1	61.035000
1	62.942500
1	62.704000
1	63.180500
1	62.108000
1	63.538500
1	62.704000
1	62.584500
1	61.869500
1	64.492000
1	66.637500
1	63.896000
1	62.465500
1	61.631000
1	63.061500
1	63.061500
1	62.584500
1	63.538500
1	63.180500
1	62.942500
1	63.061500
1	62.227000
1	63.776500
1	62.942500
1	63.538500
1	62.346000
1	63.419000
1	64.134500
1	63.657500
1	62.465500
1	62.823000
1	74.744000
1	65.207000
1	62.584500
1	63.896000
1	62.823000
1	62.584500
1	63.180500
1	63.180500
1	60.915500
1	66.637500
1	62.823000
1	62.584500
1	64.015000
1	63.419000
1	62.584500
1	63.538500
1	62.823000
1	63.419000
1	61.511500
1	62.942500
1	64.015000
1	62.227000
1	64.015000
1	61.392500
1	62.227000
1	64.134500
1	61.511500
1	62.108000
1	63.419000
1	62.346000
1	61.869500
1	65.445500
1	61.392500
1	62.584500
1	64.730500
1	61.750000
1	64.373000
1	62.227000
1	65.088000
1	61.750000
1	64.015000
1	63.419000
1	61.511500
1	62.942500
1	62.108000
1	61.988500
1	63.657500
1	64.969000
1	63.300000
1	63.300000
1	62.346000
1	62.227000
1	62.584500
1	73.790500
1	62.704000
1	63.538500
1	63.300000
1	62.942500
1	62.704000
1	63.538500
1	64.969000
1	63.657500
1	63.538500
1	63.776500
1	63.061500
1	64.015000
1	64.253500
1	62.823000
1	64.849500
1	63.657500
1	66.637500
1	66.757000
1	64.492000
1	65.684000
1	72.956000
1	63.300000
1	64.373000
1	63.896000
1	63.419000
1	63.300000
1	63.657500
1	62.704000
1	62.584500
1	62.227000
1	62.108000
1	62.108000
1	63.776500
1	61.273500
1	62.942500
1	64.492000
1	69.022000
1	61.988500
1	64.373000
1	62.108000
1	62.465500
1	62.823000
1	63.180500
1	62.584500
1	62.465500
1	61.392500
1	63.300000
1	62.108000
1	62.227000
1	62.465500
1	61.750000
1	62.465500
1	62.942500
1	62.227000
1	62.704000
1	62.465500
1	62.704000
1	62.227000
1	63.776500
1	62.704000
1	62.108000
1	62.704000
1	62.704000
1	62.465500
1	62.823000
1	63.538500
1	61.035000
1	62.704000
1	62.465500
1	63.419000
1	61.988500
1	99.420500
1	67.830000
1	62.704000
1	100.135500
1	102.281500
1	72.598000
1	65.684000
1	71.763500
1	61.511500
1	64.969000
1	64.134500
1	62.465500
1	75.578500
1	61.392500
1	63.896000
1	63.538500
1	63.657500
1	63.419000
1	63.180500
1	63.538500
1	65.565000
1	64.253500
1	64.849500
1	65.207000
1	64.253500
1	134.825500
1	220.656000
1	126.123000
1	80.108500
1	80.466000
1	74.744000
1	83.923000
1	89.168500
1	125.765500
1	86.188000
1	85.115000
1	68.068500
1	72.956000
1	72.956000
1	64.373000
1	80.943000
1	64.849500
1	64.373000
1	63.657500
1	71.406000
1	65.326500
1	64.373000
1	63.776500
1	63.657500
1	66.161000
1	64.969000
1	66.757000
1	73.432500
1	64.134500
1	65.565000
1	67.234000
1	70.810000
1	66.757000
1	63.180500
1	70.214000
1	76.651500
1	66.995500
1	64.015000
1	70.214000
1	65.922500
1	69.379500
1	64.015000
1	64.849500
1	67.949000
1	63.180500
1	68.068500
1	69.260500
1	74.386500
1	63.896000
1	68.664500
1	65.445500
1	67.710500
1	65.922500
1	64.849500
1	64.253500
1	65.088000
1	65.565000
1	70.214000
1	64.611000
1	64.611000
1	64.611000
1	65.088000
1	64.730500
1	65.326500
1	65.565000
1	64.849500
1	63.538500
1	65.326500
1	113.964000
1	78.916500
1	68.306500
1	74.148000
1	90.718000
1	73.909500
1	65.684000
1	65.803500
1	71.406000
1	65.445500
1	64.492000
1	65.803500
1	64.611000
1	70.214000
1	63.538500
1	66.399500
1	66.161000
1	64.134500
1	64.492000
1	69.022000
1	64.492000
1	67.234000
1	66.399500
1	64.015000
1	72.717500
1	66.041500
1	63.657500
1	66.161000
1	67.353000
1	65.207000
1	64.373000
1	64.611000
1	63.538500
1	62.704000
1	66.041500
1	62.823000
1	62.942500
1	65.207000
1	63.538500
1	67.114500
1	69.260500
1	66.518500
1	65.922500
1	63.896000
1	65.445500
1	64.253500
1	69.499000
1	64.492000
1	63.419000
1	70.095000
1	64.969000
1	64.730500
1	63.657500
1	64.134500
1	72.360000
1	65.565000
1	65.684000
1	65.326500
1	66.399500
1	84.519000
1	65.684000
1	65.207000
1	65.922500
1	64.492000
1	68.902500
1	63.300000
1	64.969000
1	63.657500
1	62.584500
1	64.373000
1	77.724000
1	75.578500
1	65.207000
1	64.849500
1	65.565000
1	64.253500
1	66.876000
1	64.969000
1	64.134500
1	66.518500
1	64.134500
1	65.088000
1	65.565000
1	65.445500
1	64.730500
1	64.373000
1	64.849500
1	66.161000
1	66.280000
1	65.922500
1	68.902500
1	67.114500
1	66.399500
1	65.445500
1	67.353000
1	66.637500
1	66.161000
1	66.637500
1	68.187500
1	66.995500
1	66.995500
1	66.876000
1	67.353000
1	67.591500
1	65.207000
1	65.565000
1	65.803500
1	64.849500
1	64.253500
1	66.757000
1	65.684000
1	66.280000
1	66.637500
1	64.849500
1	64.134500
1	66.399500
1	64.134500
1	64.492000
1	64.492000
1	66.161000
1	65.445500
1	64.492000
1	64.611000
1	63.896000
1	63.896000
1	66.280000
1	65.207000
1	65.445500
1	65.565000
1	65.088000
1	64.015000
1	66.280000
1	64.373000
1	65.445500
1	66.280000
1	64.373000
1	64.730500
1	64.134500
1	64.969000
1	63.538500
1	64.492000
1	63.300000
1	64.015000
1	64.253500
1	64.015000
1	64.730500
1	74.148000
1	65.326500
1	64.611000
1	64.611000
1	64.134500
1	70.095000
1	65.088000
1	64.730500
1	65.207000
1	65.088000
1	66.399500
1	63.180500
1	65.684000
1	64.253500
1	65.326500
1	66.876000
1	64.969000
1	67.114500
1	63.300000
1	63.538500
1	67.591500
1	65.445500
1	65.088000
1	64.849500
1	67.114500
1	66.876000
1	88.691500
1	100.612500
1	87.738000
1	77.486000
1	66.995500
1	67.234000
1	64.492000
1	64.969000
1	65.922500
1	64.015000
1	65.326500
1	64.253500
1	64.611000
1	65.207000
1	65.088000
1	65.684000
1	64.849500
1	66.041500
1	66.161000
1	64.134500
1	64.253500
1	68.187500
1	63.300000
1	64.730500
1	64.492000
1	64.969000
1	66.757000
1	65.684000
1	67.949000
1	66.757000
1	65.326500
1	66.399500
1	65.207000
1	67.949000
1	64.492000
1	64.015000
1	67.591500
1	65.088000
1	64.730500
1	65.684000
1	65.445500
1	64.849500
1	65.088000
1	62.584500
1	64.492000
1	63.776500
1	63.776500
1	64.730500
1	64.730500
1	64.373000
1	64.492000
1	64.611000
1	66.161000
1	64.730500
1	64.492000
1	63.538500
1	65.445500
1	64.611000
1	65.565000
1	74.505500
1	64.134500
1	64.015000
1	63.300000
1	65.803500
1	64.849500
1	65.565000
1	64.611000
1	64.849500
1	64.611000
1	70.691000
1	95.129000
1	77.962500
1	71.525500
1	63.776500
1	68.187500
1	64.730500
1	64.492000
1	67.114500
1	64.253500
1	65.803500
1	64.015000
1	66.161000
1	65.088000
1	64.253500
1	64.492000
1	64.373000
1	69.022000
1	65.326500
1	65.088000
1	64.134500
1	67.114500
1	64.849500
1	64.253500
1	65.445500
1	64.253500
1	63.776500
1	64.015000
1	64.492000
1	64.611000
1	64.730500
1	64.373000
1	64.730500
1	67.830000
1	64.730500
1	65.207000
1	65.088000
1	64.492000
1	64.492000
1	64.730500
1	64.849500
1	63.538500
1	63.776500
1	66.637500
1	66.876000
1	67.830000
1	66.161000
1	65.565000
1	65.445500
1	67.949000
1	74.505500
1	66.161000
1	64.373000
1	65.565000
1	64.373000
1	64.849500
1	64.373000
1	65.684000
1	64.373000
1	64.134500
1	66.161000
1	63.300000
1	64.253500
1	64.611000
1	66.995500
1	65.088000
1	64.134500
1	64.492000
1	64.611000
1	67.710500
1	64.492000
1	64.253500
1	64.015000
1	65.445500
1	66.161000
1	64.253500
1	66.161000
1	65.803500
1	65.684000
1	72.598000
1	64.969000
1	64.969000
1	65.445500
1	64.730500
1	66.876000
1	67.353000
1	66.399500
1	63.896000
1	64.611000
1	66.518500
1	65.445500
1	65.922500
1	64.730500
1	64.492000
1	65.922500
1	64.373000
1	65.207000
1	65.922500
1	66.399500
1	64.134500
1	65.207000
1	66.876000
1	67.114500
1	72.479000
1	63.776500
1	64.015000
1	64.373000
1	66.280000
1	66.518500
1	64.611000
1	65.088000
1	64.253500
1	65.326500
1	66.161000
1	65.088000
1	64.849500
1	64.373000
1	66.518500
1	64.492000
1	65.565000
1	65.326500
1	65.088000
1	65.088000
1	66.041500
1	65.445500
1	67.472000
1	67.114500
1	73.552000
1	66.995500
1	66.995500
1	66.161000
1	72.121500
1	66.399500
1	68.783500
1	66.399500
1	65.326500
1	66.876000
1	66.518500
1	66.399500
1	65.803500
1	65.565000
1	65.803500
1	65.326500
1	64.134500
1	64.253500
1	66.757000
1	72.479000
1	65.207000
1	65.922500
1	68.306500
1	64.969000
1	64.849500
1	63.896000
1	64.611000
1	64.969000
1	65.326500
1	64.969000
1	65.207000
1	64.611000
1	64.253500
1	65.088000
1	65.207000
1	65.207000
1	65.326500
1	64.492000
1	66.041500
1	64.969000
1	64.492000
1	64.134500
1	64.373000
1	75.221000
1	65.803500
1	64.373000
1	64.373000
1	65.326500
1	65.922500
1	64.492000
1	65.922500
1	66.161000
1	68.068500
1	65.445500
1	65.565000
1	65.684000
1	66.876000
1	65.207000
1	64.611000
1	65.207000
1	65.922500
1	64.253500
1	65.088000
1	64.373000
1	64.849500
1	67.472000
1	66.041500
1	73.671000
1	64.134500
1	65.207000
1	65.684000
1	64.373000
1	64.134500
1	66.041500
1	64.849500
1	67.114500
1	65.326500
1	65.207000
1	64.253500
1	66.161000
1	63.776500
1	65.565000
1	65.445500
1	65.445500
1	64.611000
1	64.849500
1	68.783500
1	66.041500
1	64.849500
1	64.730500
1	64.373000
1	75.101500
1	65.445500
1	65.207000
1	65.088000
1	67.591500
1	65.445500
1	64.849500
1	64.492000
1	65.445500
1	65.326500
1	63.776500
1	66.876000
1	64.015000
1	65.803500
1	64.134500
1	64.492000
1	66.161000
1	65.684000
1	64.373000
1	65.326500
1	64.492000
1	64.969000
1	63.776500
1	65.803500
1	72.598000
1	65.088000
1	66.041500
1	67.234000
1	65.445500
1	65.445500
1	64.730500
1	65.565000
1	64.015000
1	64.253500
1	66.399500
1	66.041500
1	64.849500
1	65.684000
1	67.472000
1	67.353000
1	65.207000
1	65.088000
1	64.253500
1	66.280000
1	64.611000
1	65.922500
1	64.849500
1	64.373000
1	66.518500
1	65.922500
1	64.373000
1	64.015000
1	65.922500
1	65.445500
1	64.969000
1	65.088000
1	64.969000
1	65.565000
1	65.207000
1	67.472000
1	65.803500
1	65.803500
1	64.969000
1	65.326500
1	64.969000
1	63.776500
1	65.326500
1	74.744000
1	65.207000
1	64.492000
1	65.326500
1	66.280000
1	65.088000
1	64.611000
1	66.995500
1	65.922500
1	66.399500
1	64.373000
1	65.445500
1	65.684000
1	65.326500
1	67.114500
1	64.730500
1	65.565000
1	64.015000
1	69.856500
1	68.545000
1	66.399500
1	66.757000
1	65.207000
1	68.306500
1	66.876000
1	65.922500
1	66.161000
1	67.710500
1	64.134500
1	67.353000
1	64.730500
1	64.134500
1	64.253500
1	64.849500
1	63.061500
1	66.280000
1	64.969000
1	64.492000
1	65.207000
1	65.565000
1	65.565000
1	64.373000
1	63.657500
1	77.605000
1	75.221000
1	108.242000
1	107.884000
1	75.221000
1	65.922500
1	68.545000
1	64.373000
1	65.088000
1	65.207000
1	65.565000
1	64.373000
1	65.088000
1	67.472000
1	63.896000
1	64.253500
1	63.657500
1	64.492000
1	65.684000
1	63.896000
1	64.253500
1	65.445500
1	66.399500
1	63.538500
1	64.015000
1	64.134500
1	64.611000
1	65.445500
1	64.611000
1	64.730500
1	64.730500
1	63.419000
1	64.015000
1	64.969000
1	65.684000
1	66.041500
1	64.611000
1	64.134500
1	66.757000
1	64.730500
1	65.207000
1	74.505500
1	64.730500
1	64.373000
1	64.730500
1	65.922500
1	65.088000
1	64.373000
1	65.445500
1	63.657500
1	65.565000
1	64.611000
1	64.253500
1	64.373000
1	66.399500
1	64.611000
1	64.373000
1	72.240500
1	67.114500
1	65.684000
1	69.856500
1	65.326500
1	65.445500
1	62.942500
1	65.088000
1	74.505500
1	63.896000
1	64.969000
1	63.776500
1	65.207000
1	66.399500
1	64.611000
1	64.730500
1	64.969000
1	64.253500
1	65.088000
1	65.565000
1	66.161000
1	64.253500
1	64.492000
1	66.041500
1	64.730500
1	65.088000
1	64.730500
1	63.776500
1	65.088000
1	64.969000
1	64.253500
1	65.088000
1	75.340000
1	65.326500
1	64.373000
1	66.161000
1	66.757000
1	64.730500
1	63.419000
1	64.134500
1	63.896000
1	64.492000
1	65.803500
1	64.730500
1	64.253500
1	64.373000
1	65.207000
1	63.657500
1	65.088000
1	64.492000
1	65.565000
1	66.757000
1	66.041500
1	63.419000
1	65.922500
1	64.492000
1	65.684000
1	65.207000
1	65.445500
1	63.180500
1	64.969000
1	66.041500
1	63.419000
1	65.803500
1	64.730500
1	64.373000
1	64.611000
1	64.015000
1	64.969000
1	64.969000
1	65.922500
1	65.207000
1	63.657500
1	64.849500
1	64.849500
1	66.518500
1	63.419000
1	65.684000
1	63.180500
2	65.684000
2	65.445500
2	64.730500
2	63.776500
2	67.234000
2	64.730500
2	64.611000
2	64.015000
2	65.088000
2	65.684000
2	64.134500
2	64.373000
2	65.922500
2	65.803500
2	63.776500
2	65.803500
2	65.088000
2	63.657500
2	64.849500
2	65.088000
2	65.565000
2	64.969000
2	64.611000
2	65.326500
2	64.134500
2	74.148000
2	65.922500
2	65.207000
2	63.896000
2	66.518500
2	64.253500
2	64.730500
2	64.849500
2	65.207000
2	66.995500
2	64.492000
2	65.922500
2	64.253500
2	65.207000
2	65.326500
2	66.876000
2	65.088000
2	64.253500
2	64.373000
2	64.492000
2	65.207000
2	65.088000
2	66.161000
2	65.088000
2	65.088000
2	65.207000
2	63.657500
2	72.717500
2	66.995500
2	66.637500
2	70.214000
2	70.214000
2	70.810000
2	74.148000
2	70.095000
2	70.333000
2	71.763500
2	71.406000
2	69.022000
2	69.975500
2	69.856500
2	75.936000
2	66.995500
2	72.240500
2	74.028500
2	66.757000
2	68.187500
2	71.048500
2	64.015000
2	64.492000
2	67.234000
2	65.326500
2	64.969000
