#size	rtt
1	23.365000
1	29.325000
1	20.265500
1	20.265500
1	21.815000
1	20.503500
1	20.265500
1	21.576500
1	21.696000
1	20.384500
1	22.888000
1	20.503500
1	20.503500
1	22.411000
1	21.934500
1	20.384500
1	21.696000
1	20.384500
1	20.265500
1	20.146000
1	20.384500
1	20.980500
1	20.265500
1	21.457500
1	21.576500
1	20.265500
1	22.768500
1	20.265500
1	20.146000
1	21.457500
1	20.742000
1	21.696000
1	20.146000
1	20.265500
1	20.265500
1	21.576500
1	20.146000
1	21.457500
1	20.027000
1	20.265500
1	20.980500
1	21.457500
1	21.338000
1	19.669500
1	20.146000
1	20.146000
1	21.934500
1	20.503500
1	21.457500
1	20.265500
1	21.457500
1	20.146000
1	20.265500
1	21.696000
1	20.146000
1	20.384500
1	21.457500
1	22.768500
1	20.265500
1	21.457500
1	20.265500
1	20.265500
1	21.934500
1	23.603000
1	21.576500
1	22.768500
1	21.338000
1	21.338000
1	20.265500
1	20.265500
1	21.696000
1	20.742000
1	20.265500
1	20.146000
1	21.457500
1	19.550000
1	20.146000
1	20.146000
1	21.696000
1	20.265500
1	21.696000
1	20.384500
1	20.146000
1	20.146000
1	20.265500
1	20.384500
1	20.027000
1	21.576500
1	5487.322500
1	23.365000
1	22.768500
1	21.457500
1	21.576500
1	21.457500
1	20.623000
1	20.384500
1	20.146000
1	22.172500
1	20.265500
1	20.384500
1	20.265500
1	19.550000
1	20.146000
1	20.265500
1	20.146000
1	20.146000
1	21.457500
1	21.576500
1	21.576500
1	21.576500
1	20.384500
1	21.696000
1	19.907500
1	20.384500
1	20.384500
1	20.384500
1	19.431000
1	20.265500
1	20.265500
1	20.265500
1	21.338000
1	21.696000
1	26.822000
1	21.696000
1	20.146000
1	20.146000
1	20.742000
1	20.384500
1	20.265500
1	23.007000
1	21.934500
1	20.980500
1	20.742000
1	20.146000
1	23.722500
1	20.265500
1	21.576500
1	20.265500
1	20.265500
1	20.265500
1	21.815000
1	20.146000
1	21.576500
1	21.696000
1	20.146000
1	20.384500
1	21.457500
1	21.696000
1	20.265500
1	20.265500
1	20.265500
1	20.265500
1	20.265500
1	21.457500
1	21.100000
1	20.146000
1	20.384500
1	21.696000
1	20.623000
1	20.503500
1	21.457500
1	20.265500
1	21.696000
1	20.146000
1	21.696000
1	20.265500
1	21.576500
1	20.265500
1	20.861500
1	19.788500
1	21.338000
1	20.146000
1	5084.514500
1	24.080000
1	21.696000
1	21.815000
1	20.265500
1	20.265500
1	21.457500
1	21.934500
1	21.696000
1	20.146000
1	20.146000
1	20.146000
1	20.861500
1	21.576500
1	20.265500
1	21.457500
1	20.384500
1	20.146000
1	22.292000
1	21.576500
1	20.265500
1	24.080000
1	21.576500
1	21.457500
1	23.365000
1	20.384500
1	21.457500
1	20.027000
1	21.457500
1	21.576500
1	21.457500
1	21.576500
1	23.245500
1	20.265500
1	20.384500
1	20.384500
1	21.457500
1	20.146000
1	21.576500
1	20.146000
1	20.265500
1	20.265500
1	21.457500
