# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: hpc-g04-node01.unitn.it
# Release : 3.10.0-1127.19.1.el7.x86_64
# Version : #1 SMP Tue Aug 25 17:23:54 UTC 2020
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 237.978610 
# Number of iterations (recorded+unrecorded): 1458104320 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
0.00	9060.19
685392.39	9059.19
1000076.11	13112.82
1999914.24	4529.59
2999751.37	8821.21
3999589.50	8106.27
4999665.62	5960.46
5999502.75	6199.44
6999578.86	6199.44
7999416.99	7390.34
8999254.12	5245.53
9999092.25	26462.62
10999168.36	8821.21
11999005.49	6437.42
12998843.62	7390.34
13998680.76	6199.44
14998756.87	9060.19
15998595.00	7629.31
16998432.13	8583.23
17998508.24	10729.04
18998346.37	9774.12
19998183.50	12873.84
20998259.61	9537.14
21998097.74	8582.23
22997934.88	7868.29
23997773.01	6913.38
24997849.12	9059.19
25997686.25	8344.25
26997524.38	8821.21
27997600.49	8344.25
28997437.62	8583.23
29997275.75	8821.21
30997351.87	8582.23
31997189.00	8821.21
32997027.13	7629.31
33997103.24	7629.31
34996940.37	8344.25
35996778.50	9059.19
36996615.63	7629.31
37996691.74	5960.46
38996529.87	7390.34
39996367.01	14542.69
40996443.12	7391.34
41996281.25	6913.38
42996118.38	7391.34
43996194.49	9298.16
44996032.62	7629.31
45995869.75	7629.31
46995707.88	8821.21
47995783.99	8344.25
48996098.08	7629.31
49995697.24	4768.57
50995535.37	7152.36
51995372.50	5245.53
52995210.63	9774.12
53995286.74	7390.34
54995123.87	6675.40
55994962.00	5006.55
56995038.11	8105.27
57994875.25	5722.49
58994713.38	9059.19
59994789.49	8344.25
60994626.62	8344.25
61994464.75	4768.57
62994540.86	7628.31
63994377.99	7629.31
64994216.12	5721.49
65994053.26	6914.38
66994129.37	8344.25
67993967.50	6675.40
68993804.63	7391.34
69993880.74	7391.34
70993718.87	7628.31
71993556.00	12396.89
72993632.11	4053.64
73993470.24	8105.27
74993307.38	9536.14
75993145.51	6198.44
76993221.62	7628.31
77993058.75	14065.74
78992896.88	3575.68
79992972.99	5483.51
80992810.12	5006.55
81992648.25	8821.21
82992485.39	8344.25
83992561.50	3337.70
84992399.63	7867.29
85992236.76	5960.46
86992312.87	5483.51
87992151.00	8821.21
88991988.13	8821.21
89992064.24	7390.34
90991902.37	7628.31
91991739.51	4529.59
92991577.64	7867.29
93991653.75	5483.51
94991967.84	7390.34
95991329.01	9059.19
96991405.12	8820.21
97991242.25	3576.68
98991080.38	5483.51
99991394.47	8582.23
100990993.63	7152.36
101990831.76	5006.55
102990907.87	4767.57
