#size	rtt
8	30.317000
8	9.738000
8	18.707500
8	14.665000
8	8.821000
8	9.510500
8	3.149000
8	2.042500
8	3.377000
8	6.619500
8	23.910000
8	4.825500
8	8.498500
8	2.417500
8	2.418500
8	13.693000
8	31.565000
8	11.656000
8	2.696000
8	8.635000
8	1.917000
8	5.803500
8	27.966000
8	15.063000
8	19.636500
8	12.346000
8	2.054000
8	2.060000
8	2.034500
8	1.980000
8	2.025500
8	3.857500
8	1.858000
8	2.046000
8	2.792500
8	5.602000
8	2.317500
8	2.150500
8	2.450500
8	1.984500
8	2.022500
8	2.135500
8	2.117500
8	33.089000
8	5.674000
8	7.031500
8	2.265000
8	1.980000
8	2.054000
8	27.203000
8	2.018000
8	6.562500
8	10.627500
8	1.946000
8	10.729500
8	14.684500
8	8.904000
8	2.174000
8	1.921500
8	2.129500
8	2.334500
8	1.964000
8	5.033500
8	26.497000
8	35.788000
8	8.938000
8	2.780500
8	2.073000
8	6.342500
8	2.128000
8	12.985000
8	7.489000
8	105.551500
8	128.417000
8	102.144000
8	57.866000
8	49.858500
8	32.230500
8	2.094000
8	2.639000
8	2.003500
8	6.601500
8	12.419500
8	30.549000
8	5.776000
8	2.193500
8	1.941000
8	2.013000
8	2.128000
8	2.162000
8	2.077000
8	2.229500
8	2.010000
8	1.952000
8	7.129000
8	6.523500
8	7.136500
8	12.588500
8	5.789000
8	4.112000
8	2.196000
8	3.157000
8	2.062500
8	2.156000
8	1.985500
8	2.047500
8	36.921000
8	15.201500
8	6.251500
8	6.199000
8	21.936000
8	12.226000
8	1.951500
8	2.495000
8	9.001000
8	16.692500
8	23.260500
8	11.575500
8	7.323500
8	12.350000
8	2.013000
8	1.956500
8	10.642500
8	6.242500
8	14.214000
8	4.780500
8	2.308000
8	2.313500
8	2.040000
8	2.125500
8	1.972000
8	1.976000
8	3.561000
8	14.249000
8	19.015500
8	10.047000
8	18.147500
8	15.744500
8	15.558500
8	3.811000
8	2.054500
8	2.523500
8	1.994500
8	2.009000
8	4.872000
8	1.807500
8	1.974500
8	2.076000
8	4.059500
8	60.812000
8	20.430000
8	30.477500
8	24.865500
8	9.671500
8	4.383000
8	1.926000
8	2.035000
8	1.943000
8	1.934000
8	2.107500
8	3.036500
8	1.851000
8	21.250000
8	1.869500
8	1.895500
8	1.953500
8	2.057000
8	1.972000
8	2.134500
8	1.943000
8	1.951000
8	1.876500
8	2.044500
8	2.040500
8	2.165500
8	2.099000
8	1.991000
8	1.986500
8	14.322500
8	26.680000
8	43.913500
8	23.029000
8	21.962000
8	61.687500
8	15.097500
8	62.341000
8	32.098000
8	24.837000
8	34.730500
8	33.853500
8	32.468000
8	52.553000
8	19.304500
8	19.422500
8	12.890000
8	14.024500
8	23.750500
8	12.934000
8	14.337500
8	18.716500
8	12.464500
8	15.584500
8	16.429500
8	2.114000
8	2.052000
8	11.236500
8	29.435000
8	49.593000
8	48.245500
8	31.597000
8	37.296000
8	36.583500
8	14.403500
8	10.000000
8	2.161000
8	1.949000
8	7.708000
8	8.971500
8	1.981000
8	2.024000
8	4.073000
8	2.152000
8	4.523000
8	2.014500
8	5.672000
8	1.923000
8	1.973500
8	2.059000
8	1.968000
8	1.977000
8	2.012500
8	2.054000
8	1.959000
8	1.930500
8	2.046500
8	2.012000
8	1.991500
8	2.331500
8	13.906000
8	1.883500
8	1.966500
8	1.918500
8	1.963500
8	1.979500
8	1.907500
8	2.093500
8	32.014000
8	45.352000
8	38.000500
8	40.626500
8	44.676500
8	22.776500
8	27.843000
8	49.457500
8	25.652000
8	17.388500
8	31.188000
8	25.177000
8	18.177000
8	13.843000
8	17.861500
8	20.632000
8	2.126500
8	2.010500
8	35.331500
8	21.002500
8	10.484500
8	63.023500
8	75.163500
8	85.443500
8	57.770500
8	54.987000
8	42.263500
8	49.105000
8	18.354500
8	5.569000
8	1.947500
8	2.310000
8	1.941000
8	2.029000
8	2.906000
8	2.180500
8	11.341500
8	17.588500
8	20.074000
8	28.598500
8	13.233000
8	1.969000
8	2.063500
8	6.728000
8	2.001000
8	9.750500
8	7.816500
8	13.687000
8	15.708000
8	6.278500
8	12.966000
8	8.742000
8	1.879000
8	1.925000
8	7.868000
8	1.910500
8	10.175000
8	10.586500
8	1.987500
8	2.095500
8	12.298500
