# Hoverboard test (1048576 1 1000000000)
# time(ns),sleep_time(ns),repetitions
113368397,1000000000,1
112257,1000000000,1
113992,1000000000,1
103773,1000000000,1
106546,1000000000,1
103361,1000000000,1
103610,1000000000,1
104119,1000000000,1
503382,1000000000,1
102304,1000000000,1
182152,1000000000,1
102919,1000000000,1
103569,1000000000,1
104045,1000000000,1
104933,1000000000,1
103643,1000000000,1
102158,1000000000,1
257045,1000000000,1
104564,1000000000,1
105998,1000000000,1
104776,1000000000,1
104508,1000000000,1
232047,1000000000,1
102560,1000000000,1
103532,1000000000,1
103042,1000000000,1
104494,1000000000,1
104084,1000000000,1
104192,1000000000,1
256252,1000000000,1
# Hoverboard test (1048576 1 800000000)
# time(ns),sleep_time(ns),repetitions
120284178,800000000,1
110433,800000000,1
105528,800000000,1
102541,800000000,1
102802,800000000,1
101695,800000000,1
102513,800000000,1
101857,800000000,1
102483,800000000,1
103481,800000000,1
103407,800000000,1
101259,800000000,1
104362,800000000,1
101992,800000000,1
101981,800000000,1
100788,800000000,1
104380,800000000,1
101121,800000000,1
184797,800000000,1
100908,800000000,1
101761,800000000,1
101808,800000000,1
160405,800000000,1
101250,800000000,1
104193,800000000,1
102550,800000000,1
101493,800000000,1
101445,800000000,1
102658,800000000,1
101972,800000000,1
# Hoverboard test (1048576 1 600000000)
# time(ns),sleep_time(ns),repetitions
5417379,600000000,1
104484,600000000,1
254285,600000000,1
102402,600000000,1
104486,600000000,1
101429,600000000,1
946651,600000000,1
105437,600000000,1
786435,600000000,1
251072,600000000,1
102193,600000000,1
121935,600000000,1
103108,600000000,1
336891,600000000,1
144215,600000000,1
102397,600000000,1
127887,600000000,1
101975,600000000,1
130894,600000000,1
162580,600000000,1
103946,600000000,1
100848,600000000,1
845750,600000000,1
110557,600000000,1
102564,600000000,1
102356,600000000,1
119219,600000000,1
101706,600000000,1
233179,600000000,1
755507,600000000,1
# Hoverboard test (1048576 1 400000000)
# time(ns),sleep_time(ns),repetitions
123830392,400000000,1
477791,400000000,1
1170926,400000000,1
2150134,400000000,1
785477,400000000,1
586280,400000000,1
102454,400000000,1
100890,400000000,1
103597,400000000,1
102083,400000000,1
102482,400000000,1
104023,400000000,1
842068,400000000,1
731877,400000000,1
101423,400000000,1
103081,400000000,1
101469,400000000,1
442095,400000000,1
159302,400000000,1
148509,400000000,1
497402,400000000,1
1757347,400000000,1
403162,400000000,1
475291,400000000,1
706423,400000000,1
297274,400000000,1
1007736,400000000,1
178199,400000000,1
1017009,400000000,1
183911,400000000,1
# Hoverboard test (1048576 1 200000000)
# time(ns),sleep_time(ns),repetitions
116410301,200000000,1
107304,200000000,1
103708,200000000,1
103656,200000000,1
103175,200000000,1
101608,200000000,1
101733,200000000,1
101836,200000000,1
103133,200000000,1
135533,200000000,1
200992,200000000,1
119627,200000000,1
477738,200000000,1
103581,200000000,1
262463,200000000,1
101871,200000000,1
101878,200000000,1
305017,200000000,1
184857,200000000,1
102269,200000000,1
839767,200000000,1
221010,200000000,1
363330,200000000,1
345149,200000000,1
