# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 3.334000 4.386000 34.159000 1.667000 0.091000 0.138111 -nan -nan -nan
1025 10 4.357000 7.047000 45.404000 1.667000 0.203778 0.236778 0.116711 0.000178 -nan
2049 10 5.900000 8.944000 60.709000 1.667000 0.189889 0.252000 0.140559 0.000108 0.058243
3073 10 6.299000 10.562000 65.178000 1.667000 0.243111 0.281444 0.140358 0.000108 0.041186
4097 10 7.896000 12.894000 81.238000 1.667000 0.253111 0.369333 0.146164 0.000103 0.035256
5121 10 8.193000 13.810000 84.332000 1.667000 0.266889 0.394222 0.155311 0.000096 0.034733
6145 10 8.680000 14.512000 89.335000 1.667000 0.281667 0.423556 0.172692 0.000086 0.044485
7169 10 9.315000 15.351000 95.881000 1.667000 0.303444 0.445889 0.192257 0.000076 0.054659
8193 10 9.751000 16.132000 100.554000 1.667000 0.338222 0.481778 0.209099 0.000069 0.060015
9217 10 9.876000 17.302000 102.683000 1.667000 0.435889 0.607556 0.212318 0.000068 0.056495
10241 10 10.051000 18.016000 104.453000 1.667000 0.438111 0.633444 0.215630 0.000067 0.053682
11265 10 10.129000 19.006000 105.363000 1.667000 0.452556 0.677111 0.213553 0.000068 0.051108
12289 10 11.030000 20.149000 114.563000 1.667000 0.473667 0.679333 0.217290 0.000067 0.049371
13313 10 11.360000 21.229000 118.367000 1.667000 0.529667 0.766222 0.218121 0.000066 0.047304
14337 10 11.784000 22.066000 122.688000 1.667000 0.538667 0.777889 0.221100 0.000066 0.045931
15361 10 12.355000 23.406000 128.465000 1.667000 0.546111 0.837000 0.221378 0.000066 0.044265
16385 10 12.636000 24.352000 131.784000 1.667000 0.602667 0.854222 0.220930 0.000066 0.042776
17409 10 13.064000 25.174000 136.495000 1.667000 0.650556 0.957333 0.222798 0.000065 0.041657
18433 10 13.191000 26.151000 138.062000 1.667000 0.683556 1.007222 0.221761 0.000066 0.040491
19457 10 13.413000 27.036000 140.601000 1.667000 0.719000 1.030667 0.220402 0.000066 0.039495
20481 10 13.692000 28.160000 143.781000 1.667000 0.762333 1.066000 0.217161 0.000066 0.039306
21505 10 14.190000 29.297000 149.103000 1.667000 0.800333 1.144889 0.214353 0.000067 0.038988
22529 10 14.468000 30.224000 152.000000 1.667000 0.813333 1.212000 0.211821 0.000067 0.038624
23553 10 14.817000 31.193000 156.140000 1.667000 0.885556 1.254556 0.209763 0.000067 0.038134
24577 10 15.247000 32.521000 160.549000 1.667000 0.897667 1.303667 0.205907 0.000068 0.038737
25601 10 15.663000 33.441000 165.536000 1.667000 0.989556 1.402556 0.203663 0.000068 0.038423
26625 10 15.732000 34.419000 167.034000 1.667000 1.079333 1.449778 0.199741 0.000069 0.039220
27649 10 15.866000 35.244000 168.622000 1.667000 1.106889 1.512667 0.196055 0.000069 0.039864
28673 10 16.060000 36.013000 170.797000 1.667000 1.133000 1.521444 0.193386 0.000069 0.039873
29697 10 16.076000 37.017000 171.589000 1.667000 1.203222 1.595778 0.188796 0.000070 0.041402
30721 10 16.464000 37.829000 175.499000 1.667000 1.206556 1.635333 0.186327 0.000070 0.041340
31745 10 16.658000 39.092000 177.703000 1.667000 1.235889 1.711667 0.181547 0.000070 0.043125
32769 10 17.020000 40.217000 181.687000 1.667000 1.276333 1.688333 0.176755 0.000071 0.044880
33793 10 16.853000 40.909000 180.712000 1.667000 1.353556 1.792222 0.171404 0.000071 0.047177
34817 10 17.118000 41.767000 183.419000 1.667000 1.359889 1.842556 0.167159 0.000072 0.048327
35841 10 16.821000 42.523000 181.060000 1.667000 1.427778 1.864667 0.161254 0.000072 0.051169
36865 10 16.899000 43.225000 181.983000 1.667000 1.443667 1.926444 0.156343 0.000073 0.052844
37889 10 16.878000 44.069000 182.306000 1.667000 1.502889 1.984222 0.150997 0.000073 0.054930
38913 10 16.871000 44.877000 182.286000 1.667000 1.508444 2.018556 0.145562 0.000074 0.057057
