#size	rtt
1	2.582500
1	2.512500
1	2.536500
1	15.303500
1	2.477000
1	2.505000
1	14.476000
1	2.437500
1	2.564000
1	2.452000
1	2.487000
1	2.507000
1	2.478000
1	2.460000
1	2.501000
1	2.432500
1	2.480500
1	2.484500
1	2.455000
1	2.535500
1	2.469000
1	2.461500
1	2.554000
1	2.585000
1	2.598000
1	2.659500
1	2.463000
1	2.523000
1	2.564500
1	2.555000
1	2.477500
1	2.439500
1	2.504000
1	2.533000
1	2.479500
1	2.674500
1	2.514500
1	2.532500
1	2.421500
1	2.749000
1	2.477500
1	2.490000
1	2.464500
1	2.551000
1	2.552000
1	2.463500
1	2.456000
1	2.526000
1	2.482000
1	2.512000
1	2.639500
1	2.504500
1	2.501000
1	2.558500
1	2.479500
1	2.468500
1	2.523500
1	2.510000
1	2.543000
1	2.483500
1	2.497500
1	2.433000
1	2.477500
1	2.587500
1	2.473500
1	2.471500
1	2.462000
1	2.530500
1	2.425500
1	2.473000
1	2.500000
1	2.511000
1	2.455000
1	2.484000
1	2.430000
1	2.472500
1	2.518500
1	2.504500
1	2.534000
1	2.637000
1	2.527500
1	2.529500
1	2.511500
1	2.498500
1	2.474000
1	2.478500
1	2.489000
1	2.488000
1	2.479500
1	2.469000
1	2.442000
1	2.510500
1	2.517500
1	2.480000
1	2.474500
1	2.495500
1	2.452000
1	2.693000
1	2.468000
1	2.537000
1	2.505500
1	2.510500
1	2.565000
1	2.625500
1	2.515500
1	2.573500
1	2.463000
1	2.661000
1	2.488000
1	2.510500
1	2.577000
1	2.531000
1	2.453500
1	2.486000
1	2.420500
1	2.662000
1	2.449000
1	2.583500
1	2.499500
1	2.469500
1	2.486500
1	2.491500
1	2.484000
1	2.541500
1	2.456000
1	2.500500
1	2.489000
1	6.768000
1	2.476500
1	2.447000
1	2.467500
1	2.467500
1	2.494500
1	2.448500
1	2.511000
1	2.472500
1	2.545000
1	2.496500
1	2.656000
1	2.473000
1	2.458500
1	2.514500
1	2.571000
1	2.511000
1	2.466000
1	2.534000
1	2.462500
1	2.487500
1	2.426500
1	2.495500
1	2.501000
1	2.563000
1	2.483500
1	2.670000
1	2.520500
1	8.868500
1	17.218500
1	19.795000
1	22.130500
1	20.410000
1	10.757000
1	10.567000
1	2.498000
1	2.544000
1	2.508000
1	2.521000
1	2.532500
1	2.464000
1	2.472500
1	2.578000
1	2.483500
1	2.474000
1	2.535000
1	2.433000
1	2.494500
1	2.436500
1	2.489000
1	2.459500
1	2.471000
1	2.534000
1	2.470500
1	2.500000
1	2.507000
1	2.519000
1	2.459500
1	2.497500
1	2.502000
1	2.462500
1	2.473000
1	2.439000
1	2.521500
1	2.484000
1	8.627000
1	2.499000
1	2.448000
1	2.550500
1	2.495000
1	2.469000
1	2.587000
1	2.496000
1	2.599000
1	2.495000
1	2.562500
1	2.435500
1	2.508500
1	2.523500
1	2.570500
1	2.471500
1	2.440500
1	2.498500
1	2.531000
1	2.545000
1	2.482000
1	2.448500
1	2.535000
1	2.547000
1	2.479000
1	2.548500
1	2.484500
1	2.623000
1	2.539000
1	2.597000
1	2.608500
1	2.603500
1	2.452000
1	2.531000
1	2.470500
1	2.550000
1	2.486000
1	2.566500
1	2.755500
1	2.583500
1	2.520000
1	2.511000
1	2.507000
1	2.478000
1	2.487000
1	2.567500
1	2.432500
1	2.521000
1	2.504500
1	2.477500
1	2.469000
1	2.483500
1	2.531500
1	2.495500
1	2.479500
1	2.475000
1	2.689500
1	2.529000
1	2.547000
1	2.500500
1	2.430500
1	2.513000
1	2.563500
1	2.603000
1	2.463500
1	2.544000
1	2.498000
1	2.560000
1	2.497000
1	2.407500
1	3.577500
1	2.511000
1	2.576000
1	2.567500
1	2.486500
1	2.545500
1	2.469500
1	2.525500
1	2.610000
1	2.549500
1	2.470000
1	2.495000
1	2.491500
1	2.461500
1	2.548500
1	2.476000
1	7.427500
1	2.558500
1	2.533000
1	2.545500
1	2.622500
1	2.459500
1	2.457000
1	2.478500
1	2.450500
1	2.453500
1	2.467500
1	2.531000
1	2.467500
1	2.475500
1	2.471500
1	2.461500
1	2.439000
1	2.588500
1	2.556000
1	2.447000
1	2.491500
1	2.465000
1	2.473000
1	2.465000
1	2.481000
1	2.551000
1	2.590000
1	2.520500
1	2.549000
1	2.527000
1	2.526000
1	2.468500
1	2.484500
1	2.460000
1	2.461500
1	2.456500
1	2.503000
1	2.493000
1	2.464000
1	2.458000
1	2.487500
1	2.596000
1	2.484000
1	2.474000
1	2.536000
1	2.502500
1	2.457000
1	2.497500
1	2.526500
1	2.469000
1	2.526000
1	2.453500
1	2.530500
1	14.202000
1	2.554000
1	2.475500
1	2.569000
1	2.443000
1	2.470000
1	2.526500
1	2.499000
1	2.433500
1	2.534000
1	2.531000
1	2.457000
1	2.471500
1	2.573000
1	2.462000
1	2.524000
1	2.487500
1	2.564000
1	2.489000
1	2.523000
1	2.649000
1	2.465000
1	2.488500
1	2.491000
1	2.553000
1	2.548500
1	2.537500
1	2.603000
1	6.769500
1	35.742000
1	7.974500
1	4.294000
1	2.563500
1	5.500500
1	5.626000
1	2.484500
1	2.529000
1	2.480000
1	2.497500
1	2.469000
1	2.581000
1	2.517500
1	2.621500
1	2.487000
1	2.501000
1	2.470000
1	2.636000
1	2.475500
1	2.450500
1	2.533000
1	2.687000
1	2.557000
1	2.516000
1	2.451000
1	2.492500
1	2.539500
1	2.506000
1	2.498000
1	2.445500
1	2.515500
1	33.477500
1	41.730500
1	34.400500
1	2.457500
1	2.574000
1	2.693500
1	2.468000
1	2.475500
1	2.590500
1	7.471000
1	2.539500
1	2.404500
1	2.538000
1	2.446000
1	2.576000
1	2.456500
1	2.460500
1	2.492000
1	2.516000
1	2.511000
1	2.555500
1	2.487500
1	2.490000
1	2.497000
1	2.567500
1	2.417000
1	2.590000
1	2.535000
1	2.490000
1	2.500500
1	2.556000
1	2.535500
1	2.504500
1	2.527000
1	2.498500
1	2.457500
1	2.549500
1	2.577500
1	2.613500
1	2.609500
1	2.476500
1	2.470500
1	2.528500
1	2.455500
1	2.562000
1	2.488000
1	2.514500
1	2.571000
1	2.455500
1	2.485500
1	2.474500
1	2.500000
1	2.607500
1	2.517500
1	2.483000
1	2.498000
1	2.469000
1	2.520500
1	2.508500
1	33.831500
1	37.225500
1	58.721000
1	2.494000
1	2.453000
1	2.514000
1	2.567500
1	2.509000
1	2.584500
1	2.460500
1	2.556500
1	2.563000
1	2.489000
1	40.003000
1	2.535500
1	2.559500
1	2.564000
1	2.586500
1	2.539500
1	2.541500
1	2.614000
1	2.426500
1	2.506500
1	2.494500
1	2.536500
1	2.575500
1	2.460500
1	2.461500
1	2.451000
1	2.485500
1	2.479000
1	2.557000
1	2.493500
1	2.443000
1	2.513500
1	2.452500
1	2.485500
1	2.582500
1	2.425500
1	2.556500
1	2.472000
1	2.485000
1	2.538000
1	2.450500
1	2.495500
1	2.505500
1	2.465500
1	2.529500
1	2.520000
1	2.443000
1	2.550500
1	2.489500
1	2.465500
1	2.467000
1	2.438500
1	2.822000
1	2.509500
1	2.433000
1	2.467000
1	2.488500
1	2.532500
1	2.506500
1	2.492000
1	2.516500
1	2.522000
1	2.470000
1	2.432000
1	2.513500
1	2.486000
1	2.490500
1	2.461500
1	2.548000
1	2.563500
1	2.450500
1	2.521000
1	2.443500
1	2.528500
1	2.484500
1	2.498000
1	2.503500
1	2.480000
1	2.449000
1	2.510000
1	2.453000
1	2.465000
1	2.471500
1	2.493500
1	2.514500
1	2.489500
1	2.474000
1	2.524500
1	2.491500
1	2.498500
1	2.475500
1	6.275500
1	2.601000
1	2.524500
1	2.506500
1	2.470000
1	2.482000
1	2.517500
1	2.600500
1	2.510000
1	2.448500
1	2.486500
1	2.443000
1	2.492500
1	2.447000
1	2.475000
1	2.677500
1	2.449500
1	2.546000
1	2.480000
1	2.506500
1	2.428000
1	2.753500
1	2.481000
1	2.495500
1	2.468500
1	2.499500
1	2.452000
1	2.476500
1	2.478500
1	2.605000
1	2.552000
1	2.501000
1	2.542500
1	2.611000
1	2.501000
1	2.467000
1	2.521000
1	2.719500
1	2.491500
1	2.553000
1	2.505500
1	2.514500
1	2.609000
1	2.521000
1	2.517500
1	2.456000
1	2.521000
1	2.508500
1	2.479000
1	2.487500
1	2.453500
1	2.470500
1	2.493000
1	2.564500
1	2.497500
1	14.433000
1	33.603000
1	45.677000
1	12.740500
1	2.478500
1	2.449000
1	2.532000
1	2.583000
1	2.481000
1	2.496000
1	2.479000
1	2.476000
1	2.448500
1	2.524000
1	2.456500
1	2.462000
1	2.462000
1	2.504500
1	2.521000
1	2.497000
1	2.519500
1	2.440500
1	2.508500
1	2.572500
1	2.513500
1	2.534000
1	2.491500
1	2.423500
1	2.513000
1	2.497000
1	2.456000
1	2.490500
1	2.472000
1	2.460000
1	2.451500
1	2.478000
1	2.485000
1	2.507500
1	2.570500
1	2.469500
1	2.475000
1	2.511000
1	2.445000
1	2.482000
1	2.510500
1	2.547500
1	2.450000
1	2.546000
1	2.473500
1	2.504000
1	2.506000
1	2.523500
1	2.519500
1	2.713000
1	2.498500
1	2.458500
1	2.580500
1	6.599500
1	25.310000
1	2.531000
1	2.493000
1	2.487500
1	2.435000
1	2.503000
1	2.485000
1	2.519000
1	2.492000
1	3.534500
1	2.621500
1	21.342000
1	2.504500
1	2.473500
1	2.484500
1	2.465500
1	2.568500
1	2.634000
1	2.612000
1	3.989000
1	2.539000
1	2.459500
1	2.470500
1	2.523000
1	2.505000
1	2.495500
1	2.450000
1	2.497500
1	2.523500
1	2.486000
1	2.482000
1	2.490000
1	2.506500
1	2.486500
1	2.521500
1	2.508000
1	2.484500
1	2.472500
1	2.577500
1	2.520500
1	2.515500
1	2.522000
1	2.450500
1	2.621000
1	2.596000
1	2.569000
1	2.517500
1	2.472500
1	2.637500
1	2.458000
1	2.462000
1	2.456500
1	2.547500
1	2.481000
1	2.452000
1	2.506000
1	2.455500
1	2.616000
1	2.507000
1	2.442000
1	2.580000
1	19.101000
1	38.696500
1	14.983500
1	2.537000
1	2.524500
1	10.239000
1	9.876500
1	21.504000
1	2.541000
1	2.472000
1	2.494000
1	2.515500
1	2.607500
1	2.483500
1	2.480500
1	2.471500
1	2.448000
1	2.470500
1	2.473500
1	2.548000
1	2.543000
1	14.519500
1	12.607000
1	2.540000
1	2.488000
1	2.450000
1	2.462500
1	2.449000
1	2.521000
1	2.552000
1	2.505000
1	2.556000
1	5.241500
1	7.160500
1	4.849500
1	8.774500
1	2.528000
1	2.513500
1	2.488000
1	2.560500
1	2.438000
1	2.483500
1	2.468500
1	2.466500
1	2.560500
1	2.515500
1	2.457500
1	2.486000
1	2.484500
1	2.555000
1	2.482500
1	2.456000
1	2.555500
1	2.488500
1	2.572500
1	2.622500
1	2.598500
1	2.575000
1	2.575500
1	2.559500
1	9.434000
1	2.536500
1	2.472000
1	2.496500
1	2.526500
1	2.507500
1	2.513000
1	2.438500
1	2.478000
1	2.737000
1	2.584000
1	2.524500
