#size	rtt
8	2.177500
8	2.292000
8	3.190500
8	4.055500
8	3.181500
8	2.523500
8	2.595000
8	1.975000
8	1.917500
8	1.869500
8	2.089500
8	3.445500
8	2.170000
8	2.773500
8	1.960000
8	2.542000
8	2.832500
8	2.186500
8	2.116000
8	1.999500
8	1.916000
8	1.995500
8	2.203500
8	1.885000
8	2.011500
8	1.931000
8	2.005500
8	2.033500
8	1.960500
8	2.231000
8	1.837500
8	1.938000
8	2.062500
8	14.977500
8	2.455500
8	2.381000
8	2.439500
8	2.380500
8	1.870000
8	1.914500
8	1.810500
8	3.010500
8	2.119000
8	2.002000
8	2.024500
8	2.051000
8	2.328500
8	1.890000
8	1.973500
8	2.086500
8	2.100000
8	2.087500
8	1.925000
8	2.063500
8	3.510000
8	2.217000
8	2.048500
8	2.026000
8	2.085000
8	2.168000
8	1.963000
8	1.889500
8	2.037500
8	1.989500
8	1.906500
8	2.215000
8	2.018500
8	2.111500
8	1.916000
8	5.347500
8	1.846000
8	2.084500
8	2.003000
8	2.108000
8	1.953500
8	2.120000
8	2.072000
8	2.053500
8	3.102000
8	3.025000
8	2.122000
8	2.140000
8	1.992500
8	2.014000
8	2.170500
8	2.010500
8	5.342000
8	1.925000
8	1.902500
8	2.375500
8	1.972500
8	1.981000
8	2.528000
8	2.535500
8	1.979000
8	2.095000
8	2.184500
8	2.844000
8	1.927500
8	2.041000
8	1.969500
8	2.216500
8	2.014500
8	2.028500
8	2.999000
8	1.769000
8	2.134500
8	2.088500
8	2.048000
8	2.071500
8	1.940000
8	2.067000
8	2.053000
8	2.048500
8	3.149500
8	1.966000
8	5.612500
8	2.050000
8	2.074000
8	1.909500
8	2.167500
8	1.926500
8	1.978500
8	2.096500
8	2.061500
8	1.879000
8	2.057000
8	1.986500
8	2.147500
8	2.126500
8	2.100000
8	3.589000
8	1.993000
8	1.963000
8	2.029000
8	1.876500
8	2.361500
8	1.846000
8	1.982000
8	2.067500
8	2.251500
8	2.053000
8	1.956000
8	2.067500
8	4.333500
8	2.049500
8	3.229500
8	1.963000
8	2.091000
8	1.906500
8	1.893000
8	2.015000
8	1.898500
8	2.043500
8	1.987500
8	1.946000
8	1.942000
8	1.984000
8	2.103000
8	2.084000
8	2.132000
8	2.396500
8	1.956000
8	2.056500
8	1.878500
8	1.924000
8	1.898500
8	2.002500
8	1.948500
8	1.961500
8	1.987000
8	2.001500
8	2.060500
8	2.048000
8	2.028000
8	2.138500
8	8.015000
8	1.959000
8	1.954000
8	2.080500
8	2.879500
8	2.083000
8	2.087000
8	2.065500
8	1.902000
8	2.148000
8	2.044500
8	2.097500
8	2.185500
8	2.046500
8	1.935000
8	2.976500
8	2.119500
8	2.002500
8	2.040500
8	1.999000
8	2.079500
8	2.089500
8	2.899000
8	1.956000
8	1.853500
8	1.960000
8	2.083500
8	1.960000
8	2.010000
8	1.937000
8	3.914000
8	2.070000
8	2.105500
8	2.087000
8	2.039500
8	1.911000
8	1.959000
8	1.982000
8	2.027000
8	2.554500
8	2.042000
8	2.007500
8	2.750500
8	1.942000
8	1.950500
8	3.171000
8	1.959500
8	2.036500
8	2.002500
8	2.074500
8	1.888500
8	2.043500
8	2.113500
8	1.975500
8	1.930500
8	1.933000
8	1.859000
8	1.952000
8	1.914000
8	1.995000
8	2.883500
8	2.023500
8	1.960000
8	2.101000
8	1.958500
8	2.516500
8	1.922000
8	2.078000
8	2.173000
8	2.018500
8	2.025500
8	1.955500
8	2.195000
8	2.369500
8	1.894500
8	2.075500
8	2.122500
8	1.992500
8	1.796500
8	2.136000
8	2.883000
8	1.814500
8	2.097500
8	2.027500
8	1.864500
8	1.888000
8	1.989500
8	1.915500
8	2.047000
8	1.958000
8	1.992000
8	3.131000
8	1.869000
8	1.979500
8	1.947000
8	2.097500
8	1.920500
8	1.862500
8	1.972500
8	2.032500
8	2.041000
8	1.872500
8	2.048500
8	1.919000
8	1.972500
8	3.222000
8	1.864500
8	2.144500
8	1.963500
8	2.046000
8	2.001000
8	2.111500
8	2.029000
8	2.001500
8	2.016500
8	1.991500
8	1.939000
8	1.945500
8	2.381000
8	1.855000
8	3.108500
8	1.953500
8	1.937000
8	2.216500
8	1.880500
8	2.179500
8	1.988500
8	2.047000
8	2.009000
8	1.917000
8	1.957500
8	1.980500
8	1.895500
8	2.609500
8	2.035500
8	1.927000
8	2.103000
8	1.908000
8	2.023500
8	2.081500
8	2.010000
8	2.077000
8	1.947000
8	2.247500
8	2.091500
8	1.968500
8	2.010000
8	2.029500
8	1.942000
8	2.914000
8	2.070500
8	2.801000
8	1.945500
8	2.087500
8	2.129000
8	2.149500
8	2.009500
8	2.066000
8	1.908000
8	2.119500
8	2.667500
8	1.827500
8	1.977500
8	2.184000
8	2.087000
8	1.960000
8	1.963500
8	1.959500
8	1.980500
8	1.994500
8	2.015000
8	2.250000
8	2.779000
8	2.042000
8	2.017000
8	2.042500
8	2.102500
8	1.902500
8	2.008500
8	1.995500
8	2.873500
8	1.927500
8	1.949500
8	2.167000
8	2.818000
8	2.007500
8	1.958000
8	2.117000
8	2.060000
8	2.011000
8	1.999500
8	3.157500
8	2.120500
8	1.982500
8	2.009000
8	2.594500
8	1.956500
8	1.986500
8	1.905500
8	1.987500
8	2.082000
8	3.068500
8	1.988000
8	2.065000
8	2.123000
8	2.052000
8	1.961500
8	2.010500
8	2.105000
8	1.915000
8	2.598500
8	1.886500
8	2.073000
8	2.234000
8	1.918500
8	1.988000
8	1.881000
8	2.005500
8	1.947000
8	2.968000
8	2.036000
8	2.002000
8	2.113500
8	2.091500
8	2.085500
8	3.533500
8	2.116500
8	1.865500
8	2.158500
8	1.970500
8	2.808500
8	1.970000
8	2.056500
8	2.030000
8	1.971000
8	2.259500
8	1.884500
8	2.004500
8	2.094000
8	2.016500
8	1.905000
8	1.839000
8	1.973500
8	2.084500
8	2.032500
8	2.022000
8	1.968000
8	1.893500
8	2.080500
8	2.048500
8	2.005000
8	2.127000
8	1.870500
8	1.992000
8	10.452500
8	20.674000
8	3.104000
8	1.839500
8	1.995000
8	2.177500
8	1.919500
8	2.001000
8	2.033500
8	2.098000
8	1.902500
8	2.070000
8	2.218000
8	1.890500
8	30.670500
8	2.644000
8	1.901500
8	2.109000
8	2.139000
8	2.077500
8	1.987500
8	2.301000
8	1.930000
8	1.931000
8	2.141000
8	1.979000
8	2.013000
8	2.100500
8	1.879000
8	2.100000
8	2.065500
8	2.124000
8	1.898500
8	2.048500
8	1.934000
8	1.977000
8	1.903000
8	2.103000
8	2.035000
8	1.941000
8	2.011000
8	1.960500
8	1.998000
8	2.169500
8	1.904000
8	3.687000
8	2.059000
8	2.010500
8	1.968000
8	2.156000
8	1.957500
8	2.253500
8	1.876000
8	2.113500
8	1.995500
8	1.885500
8	1.957500
8	1.969500
8	2.011000
8	1.926000
8	2.893500
8	2.042000
8	1.839500
8	2.094000
8	2.023000
8	2.212000
8	1.961000
8	2.051500
8	1.920500
8	2.150500
8	1.964500
8	2.192000
8	2.076000
8	3.120500
8	2.382500
8	2.079000
8	1.966000
8	2.063500
8	2.113000
8	4.422000
8	2.114000
8	1.891000
8	2.026000
8	2.120500
8	1.979500
8	1.908500
8	2.037500
8	1.899000
8	1.903500
8	1.958000
8	3.098000
8	1.969000
8	1.920000
8	2.231500
8	2.093500
8	2.129000
8	2.167000
8	2.029000
8	1.996000
8	1.932000
8	2.184000
8	2.070000
8	2.123000
8	1.983500
8	2.176000
8	15.344000
8	2.025500
8	1.910000
8	2.090000
8	2.011000
8	1.872500
8	2.189000
8	2.157000
8	1.807500
8	2.103000
8	2.053000
8	1.907500
8	2.205000
8	1.982000
8	1.928500
8	2.045500
8	2.967000
8	1.914500
8	2.136500
8	2.193000
8	2.147000
8	1.953500
8	2.344500
8	2.140000
8	1.999500
8	2.088000
8	1.914000
8	1.988000
8	2.045500
8	2.057000
8	3.040500
8	2.023000
8	2.026000
8	2.163500
8	2.074000
8	2.031500
8	2.133000
8	1.885000
8	2.090500
8	2.102500
8	2.115000
8	2.057500
8	1.923000
8	2.114500
8	2.028500
8	2.112000
8	2.125000
8	1.937500
8	2.132000
8	2.174500
8	2.120000
8	2.169000
8	2.020500
8	2.166000
8	6.719500
8	2.268000
8	1.944500
8	2.085500
8	2.117500
8	2.123500
8	1.937000
8	2.109500
8	1.865500
8	1.912500
8	2.169000
8	2.208500
8	2.012500
8	1.923500
8	2.711000
8	1.982000
8	2.038000
8	2.039000
8	1.902500
8	2.090500
8	2.018000
8	1.974000
8	2.074500
8	1.896000
8	2.899000
8	1.939500
8	2.078500
8	2.098500
8	2.294000
8	2.090500
8	2.226500
8	1.997500
8	2.108000
8	2.104000
8	2.052500
8	1.982500
8	2.224500
8	2.032500
8	1.938500
8	2.110500
8	2.204500
8	1.863500
8	1.926000
8	2.033000
