#size	rtt
1	2.269500
1	1.675000
1	1.640000
1	1.625500
1	1.625500
1	1.641000
1	1.698000
1	1.731500
1	1.616500
1	1.618000
1	1.707000
1	1.666500
1	2.456000
1	1.734500
1	1.746500
1	1.611000
1	1.662000
1	1.599000
1	1.605500
1	1.616000
1	1.613000
1	1.638000
1	3.248000
1	1.763500
1	1.616500
1	1.674000
1	1.639000
1	1.646000
1	1.619000
1	1.684500
1	1.738500
1	1.645000
1	1.748500
1	1.693000
1	1.664000
1	1.634500
1	1.612000
1	1.602500
1	1.619000
1	1.611000
1	1.620500
1	1.635000
1	1.613000
1	1.622000
1	1.591000
1	1.834500
1	1.729000
1	1.637000
1	1.625500
1	1.651500
1	1.637000
1	1.596500
1	1.747000
1	1.601500
1	1.631500
1	1.594000
1	1.614500
1	1.629500
1	1.626000
1	1.610000
1	1.616000
1	1.628000
1	1.678500
1	1.665500
1	1.664000
1	1.627500
1	1.733000
1	1.617000
1	1.609000
1	1.627000
1	1.605000
1	1.601500
1	1.627000
1	1.612500
1	1.605000
1	1.607500
1	1.613000
1	1.642000
1	1.650500
1	1.987500
1	1.606500
1	1.654500
1	1.694500
1	1.807000
1	5.046000
1	2.756000
1	1.720500
1	1.621500
1	1.635500
1	1.756500
1	1.618000
1	1.609000
1	1.732500
1	1.649000
1	1.652000
1	1.613000
1	1.612500
1	1.687500
1	1.598500
1	1.612000
1	1.608500
1	1.612000
1	1.628500
1	1.612000
1	1.615000
1	1.602500
1	1.608500
1	1.609500
1	1.921500
1	1.716500
1	1.749000
1	1.660000
1	1.598000
1	1.633500
1	1.630500
1	1.687000
1	1.616000
1	1.624500
1	1.643500
1	1.657500
1	1.717500
1	1.606500
1	1.643000
1	1.661500
1	1.610500
1	1.630000
1	1.679500
1	1.789000
1	1.615500
1	1.672500
1	1.628500
1	1.599500
1	1.613500
1	1.666500
1	1.675500
1	1.644500
1	1.714000
1	1.641500
1	1.610500
1	1.634500
1	1.614000
1	1.688500
1	1.709000
1	1.613500
1	1.595000
1	1.597500
1	1.655000
1	1.659000
1	1.604000
1	1.645500
1	1.611000
1	1.614000
1	1.605500
1	1.607000
1	1.622500
1	1.629500
1	1.609500
1	1.655500
1	1.661000
1	1.603000
1	1.620500
1	1.614500
1	1.608000
1	1.615000
1	1.675000
1	1.806000
1	1.624000
1	1.608000
1	1.643000
1	1.661000
1	1.597500
1	1.627500
1	1.610000
1	1.639500
1	1.638000
1	1.619000
1	1.621000
1	1.594500
1	1.684000
1	1.639500
1	1.674500
1	1.637500
1	1.596000
1	1.599500
1	1.609500
1	1.604000
1	13.439000
1	11.128500
1	1.778500
1	1.684000
1	1.665000
1	1.722000
1	1.622000
1	1.615000
1	1.643500
1	1.663000
1	1.608500
1	1.610500
1	1.614500
1	1.627000
1	1.614500
1	1.619000
1	1.600000
1	1.661000
1	1.628000
1	1.634000
1	1.653000
1	1.664000
1	1.659000
1	1.613500
1	1.739500
1	1.608000
1	1.605500
1	1.598500
1	1.661000
1	1.632000
1	1.611500
1	1.678500
1	1.653500
1	1.627000
1	1.618500
1	1.740000
1	1.722000
1	1.608000
1	1.602000
1	1.633000
1	1.628500
1	1.709000
1	1.665500
1	1.625000
1	1.614500
1	1.710500
1	1.610000
1	1.710000
1	1.629000
1	1.615000
1	1.612000
1	1.635500
1	1.634500
1	1.644500
1	1.608500
1	1.715000
1	1.644500
1	1.639000
1	1.718000
1	1.645500
1	1.649000
1	1.613500
1	1.610500
1	1.590000
1	1.610500
1	1.613000
1	1.610000
1	1.641500
1	1.872500
1	1.683000
1	1.696500
1	1.647000
1	1.618500
1	1.607500
1	1.601500
1	1.704500
1	1.666500
1	1.625000
1	20.855000
1	6.305000
1	1.617500
1	1.600000
1	2.201000
1	9.045000
1	1.685500
1	1.643500
1	1.620000
1	1.620500
1	1.625500
1	1.604000
1	1.618000
1	1.642000
1	1.621500
1	1.608000
1	2.851000
1	1.653500
1	1.621500
1	1.601500
1	1.600500
1	1.705500
1	7.461500
1	21.068000
1	1.718500
1	1.611000
1	1.712500
1	1.610000
1	1.608500
1	1.633500
1	1.612500
1	1.598500
1	1.607000
1	1.605000
1	1.610000
1	1.657500
1	1.667000
1	1.690000
1	1.653500
1	1.608000
1	1.607000
1	1.597000
1	1.606000
1	1.595000
1	1.622000
1	1.630500
1	1.604500
1	1.631500
1	1.601500
1	1.596500
1	1.606500
1	1.656500
1	1.667000
1	1.641000
1	1.653500
1	1.618000
1	1.743000
1	1.607000
1	1.621500
1	1.608000
1	1.608000
1	1.601500
1	1.606500
1	1.616500
1	1.600500
1	1.618500
1	1.612500
1	1.637500
1	1.623500
1	1.634500
1	1.638500
1	1.607000
1	1.607000
1	1.626000
1	1.666500
1	1.710500
1	1.610500
1	1.592500
1	1.612500
1	1.608000
1	1.606000
1	1.699000
1	1.606500
1	1.637000
1	1.609000
1	1.686000
1	1.635500
1	1.592000
1	1.606000
1	1.598500
1	1.611500
1	1.611000
1	1.669000
1	1.697500
1	1.615500
1	1.605500
1	1.608000
1	1.730000
1	1.659000
1	1.624500
1	1.763500
1	5.090500
1	1.641500
1	1.755500
1	1.598500
1	1.703000
1	1.697000
1	1.967500
1	1.615500
1	1.608500
1	1.608000
1	1.596000
1	1.599500
1	1.599500
1	1.656500
1	1.623500
1	1.604000
1	1.662500
1	1.680000
