# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: lrdn0350.leonardo.local
# Release : 4.18.0-372.32.1.el8_6.x86_64
# Version : #1 SMP Fri Oct 7 12:35:10 EDT 2022
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 20.998793 
# Number of iterations (recorded+unrecorded): 1735851720 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
0.00	4346.75
999961.52	1928.89
1999900.05	1563.91
2999850.57	1387.92
3999792.10	1820.90
4999737.63	1624.91
5999682.15	1362.92
6999595.68	1198.93
7999523.20	2321.87
8999473.73	1650.91
9047103.99	352.98
9999476.25	1524.91
10999398.78	1446.92
11999339.30	1359.92
12999273.83	1552.91
13999225.35	1193.93
14999167.88	1518.91
15999126.40	1323.92
16999055.93	1523.91
17999006.45	1163.93
18998956.98	1284.93
19998901.50	1558.91
20998832.03	1500.91
21998786.55	2587.85
22998729.08	26562.47
23998675.60	1951.89
24998622.13	1176.93
25998570.65	1210.93
26998523.18	1162.93
27998459.70	1786.90
28998358.23	1471.92
29998313.76	1209.93
30998241.28	1985.89
31998200.81	1338.92
32998124.33	2264.87
33241789.33	299.98
33998079.86	1316.92
34998022.38	1543.91
35997968.91	1196.93
36997904.43	1668.90
37997839.96	1540.91
38997807.48	1190.93
39997759.01	1205.93
40997671.54	1754.90
41997639.06	1513.91
42997583.58	1146.93
43997528.11	1119.94
44997465.64	1568.91
45997405.16	1705.90
46997348.69	3114.82
47997285.21	1469.92
48997236.74	1229.93
49997200.26	1102.94
50997091.79	1115.94
51997041.31	1114.94
52996984.84	1553.91
53996909.37	1544.91
54996879.89	1095.94
55996811.42	1159.93
56996757.94	1308.92
57996690.47	1482.91
58996651.99	1168.93
59996609.51	1162.93
60996533.04	1565.91
61996470.57	1511.91
62996407.09	1597.91
63996376.62	1142.93
64996313.14	1278.93
65996254.67	1627.91
66996216.19	1237.93
67996141.72	1136.93
68996094.24	1537.91
69996029.77	1164.93
69997421.69	316.98
70995991.29	1067.94
71995940.82	1132.93
72995810.35	1724.90
73995773.87	1609.91
74995728.40	1169.93
74997082.32	192.99
75995659.92	1089.94
76995605.45	1566.91
77995543.97	1726.90
78995508.50	1140.93
79995441.02	1134.93
80995374.55	1619.91
81995341.07	1311.92
81996674.00	236.99
82995268.60	1236.93
83995216.12	1220.93
84995174.65	1368.92
85995092.17	1528.91
86995047.70	1276.93
87995012.22	1121.94
88994954.75	1289.93
89994881.27	1313.92
90994833.80	1112.94
91994779.32	1422.92
92994719.85	1264.93
93994619.38	1203.93
