# Hoverboard test (1048576 1 1000000000)
# time(ns),sleep_time(ns),repetitions
4938840,1000000000,1
5033493,1000000000,1
6069898,1000000000,1
3781318,1000000000,1
4004001,1000000000,1
5852460,1000000000,1
3592967,1000000000,1
3943443,1000000000,1
5127668,1000000000,1
5690813,1000000000,1
4264593,1000000000,1
5179166,1000000000,1
6743907,1000000000,1
4880189,1000000000,1
4097461,1000000000,1
5497932,1000000000,1
3757953,1000000000,1
5025386,1000000000,1
5724430,1000000000,1
4228115,1000000000,1
3518342,1000000000,1
3799915,1000000000,1
3469228,1000000000,1
4791975,1000000000,1
4240989,1000000000,1
3524541,1000000000,1
3485441,1000000000,1
3631114,1000000000,1
5986690,1000000000,1
4116535,1000000000,1
# Hoverboard test (1048576 1 800000000)
# time(ns),sleep_time(ns),repetitions
5405902,800000000,1
2417564,800000000,1
3659963,800000000,1
2312183,800000000,1
3897190,800000000,1
3270387,800000000,1
4104852,800000000,1
2415895,800000000,1
3127574,800000000,1
5061388,800000000,1
3350019,800000000,1
4483699,800000000,1
5103826,800000000,1
5032539,800000000,1
3611803,800000000,1
3944873,800000000,1
4240989,800000000,1
2288103,800000000,1
4632234,800000000,1
2366781,800000000,1
3137588,800000000,1
2114295,800000000,1
5056142,800000000,1
2286672,800000000,1
3558397,800000000,1
2279758,800000000,1
3035783,800000000,1
3860235,800000000,1
4711627,800000000,1
2243280,800000000,1
# Hoverboard test (1048576 1 600000000)
# time(ns),sleep_time(ns),repetitions
4444837,600000000,1
2366304,600000000,1
3051757,600000000,1
2548217,600000000,1
3535747,600000000,1
2496004,600000000,1
3468036,600000000,1
3288984,600000000,1
3213405,600000000,1
2561569,600000000,1
2370357,600000000,1
2278327,600000000,1
3079175,600000000,1
3014087,600000000,1
3113746,600000000,1
3099918,600000000,1
2400159,600000000,1
2219676,600000000,1
2942323,600000000,1
2285242,600000000,1
2665996,600000000,1
2398252,600000000,1
2950429,600000000,1
3787279,600000000,1
2891540,600000000,1
2778768,600000000,1
3036260,600000000,1
3273010,600000000,1
2353668,600000000,1
3312587,600000000,1
# Hoverboard test (1048576 1 400000000)
# time(ns),sleep_time(ns),repetitions
3290891,400000000,1
2616643,400000000,1
2438545,400000000,1
2468824,400000000,1
2393007,400000000,1
2800703,400000000,1
3027915,400000000,1
2488136,400000000,1
3150701,400000000,1
2416133,400000000,1
3932237,400000000,1
2405166,400000000,1
4406213,400000000,1
2483129,400000000,1
2290248,400000000,1
2389430,400000000,1
2389192,400000000,1
2421617,400000000,1
2359151,400000000,1
2727508,400000000,1
2496957,400000000,1
5010128,400000000,1
2675771,400000000,1
