# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 41.246000 96.797000 448.942000 20.623000 4.053556 7.047000 -nan -nan -nan
1025 10 55.313000 154.256000 631.093000 20.623000 8.662556 8.318222 6.167625 0.004708 -nan
2049 10 80.108000 161.647000 884.056000 20.623000 9.219556 9.908222 7.296775 0.001410 2.757763
3073 10 84.161000 166.416000 883.102000 20.623000 4.610222 10.199667 7.795520 0.000680 2.175476
4097 10 92.267000 174.045000 1004.695000 20.623000 9.113889 10.597333 8.095167 0.000388 1.858452
5121 10 87.261000 185.728000 947.237000 20.623000 8.291889 9.563333 7.931577 0.000508 1.636480
6145 10 88.453000 180.244000 966.310000 20.623000 9.086667 9.987333 8.084006 0.000419 1.490111
7169 10 92.506000 194.549000 1028.299000 20.623000 11.471000 11.179556 8.041737 0.000439 1.362573
8193 10 93.698000 196.695000 1036.643000 20.623000 11.073667 9.722667 8.072216 0.000426 1.262849
9217 10 94.890000 209.808000 1038.074000 20.623000 9.908222 10.941333 7.960753 0.000467 1.201436
10241 10 97.036000 213.623000 1022.100000 20.623000 5.748889 11.338444 7.932327 0.000476 1.134176
11265 10 98.228000 216.484000 1075.029000 20.623000 10.305444 10.358333 7.952896 0.000470 1.076817
12289 10 102.519000 213.384000 1107.931000 20.623000 9.193444 10.226444 8.124115 0.000425 1.089191
13313 10 94.175000 226.974000 1050.710000 20.623000 12.106667 11.100000 8.012659 0.000452 1.070665
14337 10 99.897000 242.471000 1093.149000 20.623000 10.464333 10.570222 7.866650 0.000485 1.078916
15361 10 98.705000 222.921000 1074.314000 20.623000 9.696000 10.517111 8.022593 0.000452 1.098824
16385 10 105.381000 254.869000 1147.985000 20.623000 10.463889 10.940667 7.907329 0.000475 1.095064
