#size	rtt
16777216	19687.891000
16777216	19497.513500
16777216	19848.227500
16777216	20314.574000
16777216	20277.380500
16777216	18897.533000
16777216	17972.469000
16777216	20059.585500
16777216	20071.744500
16777216	21163.582500
16777216	18221.855000
16777216	17987.012500
16777216	18665.909500
16777216	20331.025000
16777216	17915.964000
16777216	21365.165500
16777216	22010.564500
16777216	18555.402500
16777216	21636.366500
16777216	23030.519000
16777216	23645.281500
16777216	24681.091000
16777216	22520.780500
16777216	21488.547000
16777216	18501.758500
16777216	18987.894000
16777216	21625.041500
16777216	21217.823000
16777216	22634.744500
16777216	22068.142500
16777216	20854.234500
16777216	23409.008500
16777216	21504.044500
16777216	20551.323500
16777216	20316.123500
16777216	21167.278000
16777216	21812.558000
16777216	18757.820000
16777216	20509.839000
16777216	20220.279500
16777216	19990.324500
16777216	21350.502500
16777216	20168.781000
16777216	25459.289500
16777216	24225.115500
16777216	20423.412000
16777216	19843.697500
16777216	22127.985500
16777216	19795.298500
16777216	16426.205500
16777216	18295.526500
16777216	19152.760500
16777216	18388.271000
16777216	21452.307500
16777216	22040.843500
16777216	16935.467500
16777216	19883.632500
16777216	18628.597000
16777216	17378.211000
16777216	21617.293000
16777216	18100.857500
16777216	19511.580000
16777216	19388.794500
16777216	17005.801000
16777216	19764.184500
16777216	18932.700000
16777216	18319.368000
16777216	22379.875000
16777216	20046.710500
16777216	19976.258000
16777216	19422.054000
16777216	18621.206000
16777216	20238.995500
16777216	19435.763000
16777216	18966.913000
16777216	22389.411500
16777216	18246.889000
16777216	17223.477000
16777216	19278.764500
16777216	19425.511000
16777216	18901.824500
16777216	23947.238500
16777216	17155.647000
16777216	20537.376000
16777216	18585.443000
16777216	16479.253500
16777216	17547.488000
16777216	18545.746500
16777216	21396.756000
16777216	17520.666000
16777216	21233.916000
16777216	18151.164000
16777216	19324.183000
16777216	18909.215500
16777216	17916.560000
16777216	25683.283500
16777216	18729.567500
16777216	22279.620000
16777216	18967.509000
16777216	17333.865000
16777216	19252.061500
16777216	18791.913500
16777216	19723.892000
16777216	18988.370500
16777216	19026.517500
16777216	19493.937000
16777216	19609.212500
16777216	18736.004500
16777216	20495.891500
16777216	19385.337500
16777216	18303.394000
16777216	21045.327000
16777216	19731.283000
16777216	19270.420000
16777216	21135.568500
16777216	20280.480000
16777216	23544.430500
16777216	19532.561000
16777216	21392.941000
16777216	22081.613500
16777216	17815.470500
16777216	16243.577000
16777216	17153.263000
16777216	20221.948500
16777216	16859.412000
16777216	19949.078500
16777216	17467.975500
16777216	18244.266500
16777216	16832.232000
16777216	16868.829500
16777216	18888.711500
16777216	16515.374000
16777216	17350.196500
16777216	18714.904500
16777216	16968.727000
16777216	18670.082000
16777216	16014.695000
16777216	16385.197500
16777216	20445.704000
16777216	16588.687500
16777216	19296.050000
16777216	15548.825000
16777216	16266.465000
16777216	15041.112500
16777216	15103.697500
16777216	15872.597500
