#size	rtt
4	62.466000
4	30.994500
4	35.047500
4	30.160000
4	32.186500
4	30.994500
4	34.094000
4	33.021000
4	30.875000
4	33.259500
4	32.306000
4	28.610500
4	30.279500
4	35.286000
4	28.729000
4	32.902000
4	30.160000
4	33.259000
4	30.160000
4	28.848500
4	42.319000
4	34.571000
4	31.233000
4	32.544500
4	39.816000
4	38.266000
4	37.312500
4	30.756000
4	31.710000
4	33.259000
4	31.233000
4	34.451500
4	36.597000
4	34.928000
4	33.259500
4	31.948000
4	31.948000
4	30.636500
4	30.756000
4	30.279500
4	40.054000
4	28.729500
4	29.444500
4	30.636500
4	31.114000
4	38.624000
4	37.432000
4	137.209500
4	56.863000
4	46.730000
4	185.370500
4	1324.415000
4	82.731500
4	36.239500
4	33.855500
4	174.284000
4	39.697000
4	1606.107000
4	1323.223000
4	1643.181000
4	73.194500
4	508.785000
4	47.564500
4	43.869000
4	37.551000
4	39.577500
4	35.762500
4	33.140500
4	30.517500
4	28.491000
4	27.776000
4	26.941000
4	32.306000
4	28.729500
4	33.021000
4	32.067000
4	30.994500
4	29.087000
4	27.299000
4	28.729500
4	39.816000
4	26.464500
4	30.636500
4	34.451500
4	26.584000
4	27.895000
4	27.895000
4	27.656500
4	27.179500
4	28.610000
4	26.106500
4	29.325500
4	32.425000
4	32.544000
4	32.306000
4	33.021000
4	32.663500
4	25.749500
4	32.782500
4	29.802500
4	28.014500
4	32.544000
4	28.849000
4	29.206500
4	32.663000
4	28.133000
4	34.094000
4	27.657000
4	33.498000
4	30.040500
4	26.226000
4	33.736000
4	33.021000
4	27.656500
4	33.021000
4	30.398500
4	33.259500
4	36.120500
4	51.617500
4	27.180000
4	31.710000
4	42.677000
4	33.617000
4	30.279500
4	45.538000
4	36.239500
4	27.895000
4	27.418000
4	28.610000
4	28.252500
4	32.901500
4	28.849000
4	40.888500
4	50.187000
4	376.939500
4	775.218000
4	680.923500
4	364.303500
4	38.266000
4	28.729500
4	33.974500
4	28.610500
4	27.537000
4	27.299000
4	32.544000
4	28.133500
4	32.067500
4	29.325500
4	27.179500
4	33.378500
4	28.014000
4	27.299000
4	27.418000
4	29.802500
4	31.948000
4	33.021000
4	32.305500
4	29.444500
4	27.656500
4	32.901500
4	85.711000
4	273.943000
4	47.922000
4	112.414000
4	41.723000
4	65.088000
4	49.472000
4	30.636500
4	50.306000
4	29.325500
4	113.129500
4	28.848500
4	42.080500
4	40.292500
4	27.656500
4	28.252500
4	27.776000
4	34.213000
4	28.610000
4	28.848500
4	33.736500
4	96.679000
4	30.875500
4	27.657000
4	32.425000
4	40.650500
4	27.060500
4	43.988000
4	28.371500
4	29.087000
4	27.180000
4	35.047500
4	30.398500
4	33.021000
4	33.259500
4	38.147000
4	43.988000
4	52.213500
4	36.716500
4	84.161500
4	86.903500
4	37.908500
4	914.931500
4	1413.107000
4	46.968500
4	57.220500
4	375.509500
4	129.104000
4	445.366000
4	152.945500
4	200.867500
4	39.458500
4	132.203000
4	52.333000
4	46.134000
4	34.332000
4	32.305500
4	34.928500
4	32.902000
4	31.709500
4	32.305500
4	32.425000
4	33.379000
4	27.180000
4	29.564000
4	30.875000
4	28.014500
4	32.782500
4	31.113500
4	32.067000
4	36.359000
4	28.968000
4	32.782500
4	31.829000
4	33.140000
4	27.418000
4	27.299000
4	32.544500
4	33.379000
4	31.829000
4	26.941500
4	27.180000
4	27.418000
4	32.902000
4	32.186500
4	30.398500
4	149.965000
4	29.802000
4	32.186500
4	164.270000
4	32.544500
4	28.848500
4	32.782500
4	28.014000
4	29.564000
4	31.352000
4	27.179500
4	28.491000
4	33.617000
4	27.537500
4	26.941500
4	28.014500
4	28.253000
4	28.133500
4	27.060500
4	51.498500
4	83.446500
4	334.620500
4	203.251500
4	81.777500
4	29.683000
4	50.783000
4	72.956000
4	30.398500
4	29.087000
4	293.493500
4	146.508000
4	50.187500
4	41.484500
4	29.325500
4	39.577500
4	45.895500
4	40.769500
4	61.631000
4	46.730000
4	42.677000
4	40.888500
4	94.533000
4	40.769500
4	32.186500
4	34.451500
4	36.239500
4	33.736500
4	26.941000
4	27.776000
4	35.762500
4	35.405000
4	37.074500
4	33.140500
4	29.921500
4	36.120500
4	32.663500
4	33.736000
4	28.014000
4	29.921500
4	26.584000
4	28.133500
4	33.974500
4	32.782500
4	27.537500
4	26.464500
4	36.835500
4	29.802500
4	40.769500
4	146.389000
4	48.876000
4	187.277500
4	44.942000
4	313.282000
4	281.214500
4	268.816500
4	166.535000
4	803.589500
4	3381.729000
4	40.411500
4	31.352000
4	36.358500
4	33.617000
4	27.895000
4	31.113500
4	29.802000
4	32.902000
4	33.617000
4	33.855500
4	33.855500
4	33.021000
4	30.159500
4	27.299000
4	30.756000
4	33.855500
4	29.087000
4	33.021000
4	32.782500
4	28.729500
4	33.617000
4	33.617000
4	30.517500
4	33.498000
4	32.544000
4	29.087000
4	33.021000
4	33.259000
4	32.425000
4	32.902000
4	33.021000
4	30.994000
4	28.252500
4	34.689500
4	33.974500
4	28.252500
4	30.517500
4	30.398500
4	30.636500
4	32.902000
4	33.855500
4	28.610000
4	33.378500
4	33.497500
4	31.709500
4	28.729000
4	30.637000
4	31.352000
4	34.928500
4	28.491000
4	28.252500
4	33.975000
4	34.928500
4	30.398500
4	28.133500
4	27.299000
4	27.656500
4	33.497500
4	34.928500
4	32.306000
4	35.167000
4	27.656500
4	30.636500
4	33.498000
4	29.325500
4	30.517500
4	75.102000
4	385.761500
4	399.709000
4	78.797500
4	30.160000
4	129.223000
4	1424.789500
4	40.889000
4	27.537500
4	28.491000
4	308.394000
4	49.352500
4	106.215500
4	38.028000
4	78.559000
4	60.439000
4	114.321500
4	48.279500
4	40.292500
4	32.663500
4	31.590500
4	26.703000
4	28.967500
4	35.405000
4	44.822500
4	28.133500
4	34.928000
4	28.014500
4	34.451500
4	35.643500
4	33.736500
4	43.273000
4	41.008000
4	30.160000
4	46.253000
4	38.266500
4	41.604000
4	28.491000
4	34.451500
4	34.689500
4	36.835500
4	33.736500
4	29.802000
4	37.789500
4	32.782500
4	32.544000
4	38.385500
4	29.087000
4	38.385000
4	146.627000
4	43.988000
4	206.590000
4	55.790000
4	1043.081500
4	134.825500
4	161.051500
4	789.523000
4	82.135000
4	779.390500
4	32.544500
4	28.133000
4	31.232500
4	35.405000
4	35.166500
4	1430.750000
4	158.906000
4	149.369500
4	52.810000
4	40.888500
4	190.496500
4	92.029500
4	31.471000
4	40.889000
4	45.299500
4	28.133500
4	33.855500
4	33.379000
4	32.902000
4	31.233000
4	27.179500
4	34.332000
4	27.299000
4	26.583500
4	38.385500
4	31.829000
4	28.371500
4	31.471000
4	158.191000
4	72.956000
4	162.125000
4	582.337500
4	187.635500
4	40.769500
4	752.330000
4	41.842500
4	74.386500
4	67.830000
4	46.134000
4	50.902500
4	36.597000
4	28.133500
4	37.193500
4	30.279500
4	31.709500
4	32.305500
4	28.491000
4	29.564000
4	28.729500
4	28.253000
