#size	rtt
2	196.456500
2	35.643500
2	30.041000
2	32.067000
2	142.336000
2	759.959000
2	485.181500
2	61.273500
2	29.683000
2	25.988000
2	25.630000
2	28.729500
2	28.372000
2	24.319000
2	51.498500
2	25.034000
2	24.796000
2	24.080500
2	24.080500
2	24.676500
2	24.676000
2	25.034000
2	25.630000
2	25.630000
2	23.603500
2	23.603500
2	51.975500
2	52.452000
2	60.916000
2	37.670000
2	30.518000
2	132.799000
2	40.650500
2	43.392000
2	34.332000
2	26.702500
2	25.272500
2	23.841500
2	24.438000
2	23.961000
2	22.888500
2	23.484000
2	23.841500
2	22.649500
2	23.007500
2	23.246000
2	23.246000
2	23.603500
2	23.603500
2	22.530500
2	23.961500
2	22.292000
2	23.126500
2	22.650000
2	23.603500
2	23.365000
2	23.365000
2	23.365000
2	22.650000
2	24.319000
2	22.888500
2	23.365000
2	25.153500
2	22.292000
2	23.127000
2	23.961000
2	22.888500
2	22.769000
2	22.054000
2	23.841500
2	23.246000
2	25.034000
2	23.723000
2	22.531000
2	24.318500
2	23.842000
2	27.537500
2	23.246000
2	25.034000
2	23.842000
2	22.769000
2	23.246000
2	22.888000
2	23.484000
2	23.961000
2	22.769000
2	23.722500
2	24.795500
2	23.365000
2	22.292500
2	22.173000
2	23.603500
2	23.127000
2	23.961000
2	22.888000
2	23.007500
2	24.199500
2	22.888000
2	23.127000
2	24.557500
2	33.140000
2	25.153000
2	24.199500
2	23.603500
2	23.007500
2	23.842000
2	23.365000
2	23.007000
2	23.007500
2	23.484500
2	24.318500
2	22.649500
2	21.934500
2	25.392000
2	23.841500
2	23.841500
2	22.650000
2	25.272000
2	37.909000
2	33.259500
2	65.326500
2	27.418000
2	77.963000
2	24.557000
2	23.722500
2	23.603500
2	22.173000
2	23.484000
2	22.530500
2	24.080000
2	25.391500
2	23.127000
2	22.650000
2	27.656500
2	23.245500
2	72.121500
2	101.804500
2	34.690000
2	28.372000
2	25.630000
2	24.914500
2	272.631500
2	68.784000
2	77.605000
2	26.345500
2	27.299000
2	77.128500
2	163.555500
2	31.113500
2	73.552000
2	34.928500
2	30.875500
2	77.724000
2	27.776000
2	23.126500
2	23.961000
2	23.365000
2	23.961000
2	23.722500
2	24.199500
2	31.233000
2	26.464500
2	23.603500
2	25.272000
2	26.107000
2	35.524500
2	26.584000
2	25.153500
2	24.676500
2	24.915000
2	24.080500
2	25.392000
2	24.438000
2	25.034000
2	31.948000
2	23.961000
2	24.199500
2	26.107000
2	24.438000
2	23.126500
2	23.484000
2	25.033500
2	23.007500
2	24.795500
