#size	rtt
1	24.437500
1	29.683000
1	33.855000
1	22.768500
1	67.234000
1	46.491500
1	25.868000
1	25.033500
1	24.795500
1	28.610000
1	25.033500
1	25.868000
1	24.080000
1	24.318500
1	23.007000
1	24.676000
1	24.199000
1	26.464000
1	23.841500
1	22.053500
1	22.530500
1	23.365000
1	22.053500
1	22.172500
1	22.053500
1	24.080000
1	21.815000
1	22.649500
1	21.100000
1	23.484000
1	23.007000
1	23.245500
1	21.219000
1	22.888000
1	22.530500
1	24.914500
1	21.338000
1	22.649500
1	25.153000
1	22.053500
1	21.934500
1	23.484000
1	22.053500
1	22.172500
1	21.815000
1	22.172500
1	23.961000
1	21.219000
1	21.934500
1	20.623000
1	20.861500
1	20.861500
1	21.815000
1	21.815000
1	21.696000
1	22.888000
1	22.172500
1	23.365000
1	20.980500
1	23.126500
1	24.557000
1	22.768500
1	23.245500
1	24.199000
1	23.603000
1	23.365000
1	24.080000
1	23.365000
1	24.199000
1	23.365000
1	25.391500
1	24.914500
1	22.530500
1	23.603000
1	49.352500
1	23.961000
1	32.901500
1	24.437500
1	22.411000
1	23.007000
1	31.352000
1	31.232500
1	21.457500
1	22.172500
1	24.557000
1	22.292000
1	22.888000
1	22.292000
1	20.742000
1	22.411000
1	22.292000
1	24.914500
1	21.934500
1	22.411000
1	23.961000
1	21.100000
1	21.815000
1	21.696000
1	20.980500
1	20.623000
1	20.503500
1	20.623000
1	20.742000
1	22.411000
1	20.742000
1	21.934500
1	20.980500
1	22.768500
1	22.053500
1	21.815000
1	22.411000
1	22.649500
1	20.980500
1	20.742000
1	20.265500
1	20.861500
1	20.503500
1	20.623000
1	20.742000
1	22.292000
1	20.623000
1	22.053500
1	20.623000
1	20.623000
1	21.696000
1	20.742000
1	22.292000
1	22.053500
1	22.768500
1	20.742000
1	24.199000
1	21.934500
1	22.411000
1	21.100000
1	22.292000
1	21.696000
1	20.623000
1	25.272000
1	22.172500
1	22.649500
1	22.411000
1	22.768500
1	23.365000
1	22.530500
1	22.053500
1	22.172500
1	22.292000
1	21.576500
1	21.815000
1	22.411000
1	22.172500
1	22.530500
1	20.861500
1	23.603000
1	22.172500
1	27.537000
1	22.172500
1	22.292000
1	23.722500
1	22.172500
1	21.815000
1	22.053500
1	24.557000
1	20.742000
1	21.100000
1	21.934500
1	21.934500
1	21.696000
1	21.815000
1	21.100000
1	21.815000
1	22.649500
1	22.292000
1	22.888000
1	22.172500
1	22.768500
1	21.457500
1	23.365000
1	22.411000
1	68.545000
1	40.531000
1	27.537000
1	26.583500
1	26.106500
1	22.292000
1	37.312500
1	23.365000
1	31.828500
1	24.676000
1	21.219000
1	21.815000
1	21.934500
