# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: hpc-c07-node05.unitn.it
# Release : 3.10.0-1127.19.1.el7.x86_64
# Version : #1 SMP Tue Aug 25 17:23:54 UTC 2020
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 237.983489 
# Number of iterations (recorded+unrecorded): 1412962005 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
0.00	9536.34
999858.63	8344.42
1999716.26	5483.62
2999812.88	9536.34
3999670.51	20980.54
4999529.14	13351.07
5999387.77	44819.89
6999245.40	10251.29
7999342.01	26224.18
8999200.64	19071.68
9999296.26	15019.96
10999154.89	23125.40
11999012.52	39337.27
12999109.13	5722.60
13998967.77	10967.24
14998825.40	18119.74
15998684.03	10251.29
16998780.64	6913.52
17998638.27	8583.40
18998496.90	9298.35
19998593.52	6675.54
20998451.15	7391.49
21073547.94	10252.29
21998309.78	6437.55
22030493.55	15735.91
22998406.39	7867.45
23702169.57	10966.24
23998264.02	6437.55
24991686.10	24317.31
25998219.27	12635.12
26998076.90	17403.79
27997935.53	15019.96
28997793.16	41960.09
29997889.78	9060.37
30997509.42	11206.22
31997606.04	13351.07
32997702.65	10013.31
33997561.28	15496.92
34997418.91	19311.66
35997515.53	16450.86
36997374.16	16688.84
37997231.79	7868.45
38997090.42	8344.42
39997187.04	13828.04
40997044.67	7391.49
41996903.30	9774.32
42996999.91	20741.56
43996857.54	10729.26
44996716.17	22171.46
45996573.80	32661.73
46996670.42	8583.40
47996529.05	11920.17
48996386.68	16688.84
49996483.29	10013.31
50996341.92	8105.44
51996199.56	25748.21
52996296.17	22410.45
53996154.80	11682.19
54996012.43	9060.37
55996109.05	6437.55
56995967.68	5721.60
57995825.31	6199.57
58995921.92	5960.59
59995780.55	6436.55
60995638.18	5960.59
61995496.81	6675.54
62323299.07	10490.27
62406978.27	15973.89
62995593.43	9774.32
63849788.17	10251.29
63995451.06	18119.74
64028350.78	15972.89
64225271.11	11682.19
64761436.92	15734.91
64995309.69	7629.47
65337415.96	16688.84
65995406.30	20502.58
66995263.94	15734.91
67995122.57	10251.29
68995219.18	26939.13
69995076.81	16926.83
70994935.44	19072.68
71994793.07	27894.06
72994889.69	13113.09
73994986.30	8583.40
74994605.95	16211.88
75994702.56	9298.35
76994561.19	7867.45
77994418.83	7391.49
78994515.44	14305.01
79994374.07	13351.07
80994231.70	14781.97
81994328.32	15257.94
82994186.95	14542.99
83994044.58	16926.83
84993903.21	19787.63
85993999.82	53879.26
86993857.45	20741.56
87993716.08	19787.63
88993812.70	17879.76
89993670.33	11921.17
90993528.96	8582.40
91993625.57	7152.50
92993483.21	6437.55
93993341.84	7628.47
94993438.45	6436.55
95993296.08	5960.59
96993154.71	5960.59
97993012.34	13113.09
98993108.96	8106.44
99992967.59	5960.59
100992825.22	6198.57
101992921.83	5722.60
102992780.46	6198.57
103992638.09	5960.59
104992734.71	6675.54
105992593.34	5721.60
